vessel_flag,eez_code,depart_port,offset,support,confidence,rule_level
FJ,FJ,,12.0,15698,0.9589756656898968,eez
FJ,FJ,SUVA,12.0,15668,0.9591524125606331,port
PF,PF,PAPEETE,-10.0,5300,0.99,port
PF,PF,,-10.0,5300,0.99,eez
TW,TO,,-11.0,4948,0.9761519805982215,eez
TW,TO,NUKU'ALOFA,-11.0,4895,0.9758937691521962,port
CN,VU,,11.0,2753,0.6734471485652016,eez
FJ,TO,,-11.0,2482,0.9931506849315068,eez
CN,VU,PORT VILA,11.0,2440,0.6934426229508197,port
FJ,TO,NUKU'ALOFA,-11.0,2148,0.994413407821229,port
MH,MH,,12.0,2036,0.9400785854616895,eez
MH,MH,MAJURO,12.0,2028,0.9398422090729783,port
NC,NC,,11.0,1179,0.9525021204410518,eez
NC,NC,NOUMEA,11.0,983,0.953204476093591,port
SB,SB,,11.0,836,0.6674641148325359,eez
CN,CK,,-10.0,809,0.5352286773794809,eez
SB,SB,HONIARA,11.0,598,0.6237458193979933,port
TW,SB,,11.0,571,0.6409807355516638,eez
TO,TO,NUKU'ALOFA,-11.0,554,0.9494584837545126,port
TO,TO,,-11.0,554,0.9494584837545126,eez
FM,CK,APIA,-11.0,531,0.7796610169491526,port
FM,CK,,-11.0,531,0.7796610169491526,eez
KI,CK,,-10.0,531,0.4651600753295669,eez
VU,I5,,-9.0,470,0.4276595744680851,eez
CN,CK,APIA,-11.0,395,0.5088607594936709,port
FJ,I7,,12.0,369,0.8807588075880759,eez
FJ,I7,SUVA,12.0,351,0.9259259259259259,port
FJ,TO,SUVA,-11.0,334,0.9850299401197605,port
KI,CK,APIA,-11.0,330,0.41515151515151516,port
CK,CK,,-11.0,327,0.6422018348623854,eez
VU,I7,,-11.0,326,0.26380368098159507,eez
TW,SB,NORO,11.0,310,0.7096774193548387,port
VU,IW,,-10.0,308,0.3474025974025974,eez
CN,VU,SUVA,11.0,305,0.5311475409836065,port
CN,SB,,11.0,305,0.4786885245901639,eez
KI,I7,SUVA,12.0,304,0.993421052631579,port
KI,I7,,12.0,304,0.993421052631579,eez
FM,MH,MAJURO,12.0,278,0.9172661870503597,port
FM,MH,,12.0,278,0.9172661870503597,eez
TW,SB,HONIARA,11.0,261,0.5593869731800766,port
WS,WS,,-11.0,260,0.8461538461538461,eez
FJ,TV,,12.0,256,0.98828125,eez
VU,I6,,11.0,240,0.42916666666666664,eez
SB,SB,NORO,11.0,238,0.7773109243697479,port
WS,WS,APIA,-11.0,236,0.8389830508474576,port
FJ,TV,SUVA,12.0,235,0.9872340425531915,port
FJ,VU,SUVA,12.0,225,0.7155555555555555,port
FJ,VU,,12.0,225,0.7155555555555555,eez
CN,I8,,11.0,215,0.6232558139534884,eez
KI,CK,SUVA,-10.0,201,0.9900497512437811,port
CK,CK,PAGO PAGO,-11.0,200,0.99,port
NC,NC,KOUMAC,11.0,196,0.9489795918367347,port
CN,CK,PAPEETE,-10.0,194,1.0,port
CN,FJ,SUVA,12.0,193,0.9637305699481865,port
CN,FJ,,12.0,193,0.9637305699481865,eez
VU,I7,KAOHSIUNG,-11.0,180,0.39444444444444443,port
WS,TK,APIA,-11.0,178,0.5168539325842697,port
WS,TK,,-11.0,178,0.5168539325842697,eez
VU,I4,,12.0,173,0.7167630057803468,eez
MH,FM,POHNPEI,11.0,168,0.7738095238095238,port
MH,FM,,11.0,168,0.7738095238095238,eez
VU,I5,KAOHSIUNG,-9.0,158,0.4936708860759494,port
VU,I5,SUVA,-10.0,149,0.5503355704697986,port
CN,SB,SUVA,11.0,146,0.5068493150684932,port
CN,I8,PORT VILA,11.0,135,0.562962962962963,port
CN,MH,MAJURO,12.0,126,0.9841269841269841,port
KI,VU,SUVA,12.0,126,0.5476190476190477,port
CN,MH,,12.0,126,0.9841269841269841,eez
FM,FM,,10.0,126,0.5158730158730159,eez
KI,VU,,12.0,126,0.5476190476190477,eez
VU,IW,SUVA,11.0,124,0.45161290322580644,port
CN,SB,HONIARA,11.0,117,0.5982905982905983,port
VU,NU,APIA,12.0,116,0.5517241379310345,port
VU,NU,,12.0,116,0.5517241379310345,eez
KI,FJ,SUVA,12.0,105,0.9904761904761905,port
TO,CK,PAGO PAGO,-11.0,105,1.0,port
KI,FJ,,12.0,105,0.9904761904761905,eez
TO,CK,,-11.0,105,1.0,eez
CK,CK,APIA,11.0,104,0.49038461538461536,port
CN,CK,ZHOUSHAN,-11.0,102,0.9901960784313726,port
VU,I6,SUVA,11.0,95,0.45263157894736844,port
VU,PG,ALOTAU,10.0,94,0.9893617021276596,port
VU,PG,,10.0,94,0.9893617021276596,eez
FM,FM,KOSRAE,10.0,91,0.7142857142857143,port
VU,I6,AT SEA,-11.0,91,0.4835164835164835,port
VU,I5,AT SEA,-9.0,90,0.6666666666666666,port
VU,I7,SUVA,12.0,87,0.5862068965517241,port
VU,I4,AT SEA,12.0,86,1.0,port
VU,I4,KAOHSIUNG,-11.0,84,0.5595238095238095,port
VU,IW,KAOHSIUNG,-11.0,84,0.39285714285714285,port
MH,GL,,12.0,79,0.9873417721518988,eez
FJ,I8,SUVA,12.0,74,1.0,port
FJ,I8,,12.0,74,1.0,eez
MH,GL,TARAWA,12.0,65,0.9846153846153847,port
VU,I5,PAPEETE,-10.0,63,0.9841269841269841,port
CN,CK,PAGO PAGO,-10.0,61,1.0,port
KI,H4,SUVA,12.0,61,1.0,port
KI,H4,,12.0,61,1.0,eez
CN,CK,Faaa,-10.0,57,1.0,port
JP,PG,,10.0,57,0.7192982456140351,eez
CK,I7,SUVA,12.0,54,1.0,port
VU,I6,KAOHSIUNG,12.0,54,0.4444444444444444,port
