vessel_flag,eez_code,offset,support,confidence
FJ,FJ,12.0,15698,0.9589756656898968
PF,PF,-10.0,5300,0.99
TW,TO,-11.0,4948,0.9761519805982215
CN,VU,11.0,2753,0.6734471485652016
FJ,TO,-11.0,2482,0.9931506849315068
MH,MH,12.0,2036,0.9400785854616895
NC,NC,11.0,1179,0.9525021204410518
SB,SB,11.0,836,0.6674641148325359
CN,CK,-10.0,809,0.5352286773794809
TW,SB,11.0,571,0.6409807355516638
TO,TO,-11.0,554,0.9494584837545126
KI,CK,-10.0,531,0.4651600753295669
FM,CK,-11.0,531,0.7796610169491526
VU,I5,-9.0,470,0.4276595744680851
FJ,I7,12.0,369,0.8807588075880759
CK,CK,-11.0,327,0.6422018348623854
VU,I7,-11.0,326,0.26380368098159507
VU,IW,-10.0,308,0.3474025974025974
CN,SB,11.0,305,0.4786885245901639
KI,I7,12.0,304,0.993421052631579
FM,MH,12.0,278,0.9172661870503597
WS,WS,-11.0,260,0.8461538461538461
FJ,TV,12.0,256,0.98828125
VU,I6,11.0,240,0.42916666666666664
FJ,VU,12.0,225,0.7155555555555555
CN,I8,11.0,215,0.6232558139534884
CN,FJ,12.0,193,0.9637305699481865
WS,TK,-11.0,178,0.5168539325842697
VU,I4,12.0,173,0.7167630057803468
MH,FM,11.0,168,0.7738095238095238
FM,FM,10.0,126,0.5158730158730159
KI,VU,12.0,126,0.5476190476190477
CN,MH,12.0,126,0.9841269841269841
VU,NU,12.0,116,0.5517241379310345
KI,FJ,12.0,105,0.9904761904761905
TO,CK,-11.0,105,1.0
VU,PG,10.0,94,0.9893617021276596
MH,GL,12.0,79,0.9873417721518988
FJ,I8,12.0,74,1.0
KI,H4,12.0,61,1.0
JP,PG,10.0,57,0.7192982456140351
CK,I7,12.0,54,1.0
VU,H5,-11.0,54,0.9814814814814815
CK,WS,-11.0,53,0.5471698113207547
KI,I4,12.0,52,1.0
CK,NU,-12.0,50,0.74
VU,SB,12.0,49,0.9795918367346939
CN,PW,9.0,48,1.0
TV,TV,-11.0,47,0.7021276595744681
VU,VU,12.0,45,0.9777777777777777
MH,CK,-11.0,41,1.0
JP,FM,11.0,41,1.0
FJ,I2,12.0,40,1.0
WS,SB,11.0,38,0.9736842105263158
KI,I8,-10.0,38,0.7105263157894737
CK,TK,12.0,36,0.7777777777777778
TW,MH,12.0,35,0.9428571428571428
CN,H5,-11.0,34,0.7941176470588235
WS,NU,-11.0,33,1.0
TV,I8,12.0,31,1.0
KI,I5,-10.0,29,0.9310344827586207
CN,GL,12.0,29,1.0
KI,LN,-11.0,28,1.0
FM,PG,11.0,28,0.6785714285714286
WS,H4,12.0,27,0.7777777777777778
KI,TV,12.0,23,1.0
KI,I2,12.0,22,1.0
PG,PG,10.0,21,1.0
CN,I2,11.0,20,0.35
FJ,H4,12.0,18,0.9444444444444444
US,TO,-11.0,18,1.0
TV,H4,-11.0,18,1.0
VU,I3,11.0,16,1.0
FJ,GL,12.0,16,1.0
MH,I4,-12.0,15,0.6666666666666666
FJ,I4,12.0,15,1.0
KI,H5,12.0,15,1.0
FM,H5,-11.0,14,1.0
SB,I2,11.0,13,0.6923076923076923
KI,GL,12.0,11,1.0
KI,I9,-10.0,9,1.0
TO,I7,-11.0,8,0.625
SB,I3,11.0,8,1.0
VU,I1,10.0,7,1.0
TV,I2,12.0,7,1.0
FJ,I3,12.0,7,1.0
VU,I2,12.0,7,0.7142857142857143
VU,H4,12.0,6,0.8333333333333334
FM,I4,12.0,5,1.0
MH,I3,12.0,5,1.0
TW,PW,9.0,4,1.0
WS,AS,-11.0,4,0.5
CN,I3,12.0,3,1.0
CN,I9,-10.0,3,1.0
CN,LN,-11.0,3,1.0
TW,I2,-11.0,3,0.6666666666666666
FM,I5,-10.0,3,1.0
CK,AS,-11.0,2,1.0
MH,I2,12.0,2,1.0
CN,PF,-11.0,1,1.0
FJ,IW,12.0,1,1.0
FM,I3,12.0,1,1.0
FM,I2,-9.0,1,1.0
FJ,MA,12.0,1,1.0
FJ,WF,12.0,1,1.0
TO,AS,-11.0,1,1.0
VU,HW,12.0,1,1.0
TW,I7,-11.0,1,1.0
TW,WF,-11.0,1,1.0
