entity,schema,system_source,row_count
ArtisanalFishingActivityLog,art2,Tails,72262
ArtisanalFishingActivityLog,art2,Tufart,4508
ArtisanalFishingActivityLog,art2,Tufman2,2902
ArtisanalLogsheet,art2,BASEPROD,892245
ArtisanalLogsheet,art2,Tufman2,168170
ArtisanalLogsheet,art2,Tails,121655
ArtisanalLogsheet,art2,Tufart,31504
ArtisanalLogsheet,art2,ODK,573
HandlineLogsheet,log,Tufman2,563
HandlineLogsheet,log,Tufman1,503
LonglineLogsheet,log,LogMaster,46862
LonglineLogsheet,log,Tufman2,40226
LonglineLogsheet,log,OnBoard,7526
LonglineLogsheet,log,Tufman1,3009
LonglineLogsheet,log,JsonStandard,1407
LonglineLogsheet,log,eTunalog,351
PoleAndLineLogsheet,log,LogMaster,21255
PoleAndLineLogsheet,log,Tufman2,628
PoleAndLineLogsheet,log,VFP,43
PoleAndLineLogsheet,log,Tufman1,31
PurseseineLogsheet,log,LogMaster,36000
PurseseineLogsheet,log,Tufman2,15253
PurseseineLogsheet,log,iFIMS,9468
PurseseineLogsheet,log,FFA VAC,4671
PurseseineLogsheet,log,VFP,2500
PurseseineLogsheet,log,Tufman1,2493
PurseseineLogsheet,log,eTunalog,20
SnapperLogsheet,log,DeepWaterSnapper,3208
SnapperLogsheet,log,Tufman2,946
VietnamLogsheet,log,Tufman2,31879
VietnamLogsheet,log,Tufman1,15625
CarrierObserverTrip,obsv,Tufman2,129
ObserverTrip,obsv,Tubs,20113
ObserverTrip,obsv,Tufman2,17627
ObserverTrip,obsv,Ollo,525
Unloading,unload2,Tufman1,88571
Unloading,unload2,Tufman2,62763
Unloading,unload2,tser,11091
Unloading,unload2,DRM,10386
Unloading,unload2,MIFV,4128
Unloading,unload2,DeepWaterSnapper,3660
