entity,schema,system_source,row_count
HandlineLogsheet,log,Tufman2,563
HandlineLogsheet,log,Tufman1,503
LonglineLogsheet,log,LogMaster,46862
LonglineLogsheet,log,Tufman2,40240
LonglineLogsheet,log,OnBoard,7532
LonglineLogsheet,log,Tufman1,3009
LonglineLogsheet,log,JsonStandard,1408
LonglineLogsheet,log,eTunalog,351
PoleAndLineLogsheet,log,LogMaster,21255
PoleAndLineLogsheet,log,Tufman2,634
PoleAndLineLogsheet,log,VFP,43
PoleAndLineLogsheet,log,Tufman1,31
PurseseineLogsheet,log,LogMaster,36000
PurseseineLogsheet,log,Tufman2,15255
PurseseineLogsheet,log,iFIMS,9473
PurseseineLogsheet,log,FFA VAC,4671
PurseseineLogsheet,log,VFP,2500
PurseseineLogsheet,log,Tufman1,2493
PurseseineLogsheet,log,eTunalog,20
SnapperLogsheet,log,DeepWaterSnapper,3208
SnapperLogsheet,log,Tufman2,946
CarrierObserverTrip,obsv,Tufman2,129
ObserverTrip,obsv,Tubs,20113
ObserverTrip,obsv,Tufman2,17642
ObserverTrip,obsv,Ollo,525
