entity,schema,db_table,row_count
HandlineActivity,log,log.sets_hl,16101
HandlineLogsheet,log,log.trips_hl,1066
LonglineActivity,log,log.sets_ll,2547901
LonglineLogsheet,log,log.trips_ll,99477
NetShareReceive,log,log.net_share_receives,412
PoleAndLineActivity,log,log.sets_pl,381818
PoleAndLineLogsheet,log,log.trips_pl,21972
PurseseineActivity,log,log.sets_ps,2556890
PurseseineLogsheet,log,log.trips_ps,70465
SnapperActivity,log,log.sets_ds,22545
SnapperLogsheet,log,log.trips_ds,4154
Transshipment,log,log.transshipments,19758
CarrierObserverTransshipmentActivity,obsv,obsv.carrier_transshipment,1469
CarrierObserverTrip,obsv,obsv.carrier_trip,129
ObserverLonglineSet,obsv,obsv.l_set,124825
ObserverLonglineSetCatch,obsv,obsv.l_setcatch,5747202
ObserverPoleAndLineDaylog,obsv,obsv.p_daylog,21743
ObserverPurseseineDaylog,obsv,obsv.s_daylog,6466871
ObserverTrip,obsv,obsv.trip,38358
TaggingBaitCaptureSet,tagging,tagging.bait_capture_sets,417
