eez_list,trip_count,total_trips
PF,10059,41504
MH,5772,41504
FJ,4637,41504
NC,2872,41504
PW,2156,41504
SB,1717,41504
TO,1474,41504
CK,1216,41504
FM,1179,41504
WS,738,41504
"I8,VU",666,41504
PG,648,41504
VU,646,41504
GL,575,41504
IW,572,41504
I7,447,41504
"TK,WS",317,41504
"I8,SB",304,41504
"I5,IW",293,41504
"I3,PW",285,41504
"I8,SB,VU",167,41504
"SB,VU",165,41504
I5,164,41504
"I2,SB",154,41504
I4,137,41504
I8,136,41504
I6,131,41504
"I6,IW",116,41504
TK,100,41504
"FM,I2",97,41504
"CK,H5",92,41504
H5,84,41504
LN,82,41504
"FJ,I7",79,41504
"I2,TV",75,41504
"I4,I5",64,41504
"I2,I8,VU",56,41504
"I5,IW,LN",56,41504
TV,56,41504
"H5,I4,I5",53,41504
"H4,TV",50,41504
"FM,PG",50,41504
I3,49,41504
"H5,I5",49,41504
"FM,MH",49,41504
I2,45,41504
"I7,IW",44,41504
"I3,MH",42,41504
"I2,PG",37,41504
"I4,MH",37,41504
"NU,WS",37,41504
"I2,I8,TV",36,41504
"FM,I3",36,41504
"I2,I8,TV,VU",35,41504
"I5,LN",34,41504
"I4,I5,IW",33,41504
"I3,I4",33,41504
NU,31,41504
"I7,VU",31,41504
"GL,I2",27,41504
"CK,I5",27,41504
"FM,I1",26,41504
"AS,TK,WS",26,41504
"CK,I5,IW",25,41504
"I7,I8,VU",25,41504
"I3,I4,MH",24,41504
"I8,TV,VU",24,41504
"FJ,I8",23,41504
"AS,CK",23,41504
"PG,SB",22,41504
"H5,I5,LN",22,41504
"H4,I2,TV",22,41504
"AS,WS",21,41504
"H5,I5,IW",20,41504
"MA,NC",20,41504
"H5,LN",20,41504
"FM,PW",20,41504
"I2,I8",19,41504
"TO,WS",19,41504
"CK,LN",18,41504
"I7,SB",18,41504
"I2,VU",18,41504
I1,18,41504
"H5,I4,I5,IW",17,41504
"I3,JP,PW",16,41504
"FJ,TO",16,41504
"FJ,TV",16,41504
"I2,I8,SB",16,41504
"HW,I6",15,41504
"H4,I4",15,41504
"H4,I4,TV",15,41504
"H4,H5",15,41504
"I1,PW",14,41504
"I4,TV",14,41504
"CK,I9",14,41504
"GL,I4",14,41504
"H5,PX",13,41504
"I6,I7,IW",13,41504
"H5,I5,IW,LN",13,41504
"I2,I8,SB,VU",13,41504
"CK,FM",13,41504
"H4,TK,WS",13,41504
"AU,PG",12,41504
"H5,LN,PX",12,41504
"H5,I4,I5,LN",12,41504
H4,11,41504
"I4,I5,LN",11,41504
"I7,I8",11,41504
"ID,PW",11,41504
"AU,SB",10,41504
"I7,WS",10,41504
"I5,I6,IW",10,41504
"H5,I4,I5,LN,PX",9,41504
"GL,H4,PX",9,41504
"I5,I7,IW",9,41504
"I6,I7",9,41504
ID,9,41504
"TV,VU",9,41504
"CK,H5,I5",9,41504
"GL,MH",8,41504
"H5,I5,LN,PX",8,41504
"I2,I4,TV",8,41504
"I2,I4",8,41504
"I7,TO",8,41504
"H5,I4,I5,PX",8,41504
"H4,WS",8,41504
"I8,TV",7,41504
"I3,I4,I6",7,41504
"I7,NF",7,41504
"H4,TK",7,41504
