eez_list,trip_count,total_trips
PF,10119,41622
MH,5798,41622
FJ,4653,41622
NC,2872,41622
PW,2156,41622
SB,1718,41622
TO,1476,41622
CK,1219,41622
FM,1183,41622
WS,739,41622
"I8,VU",666,41622
PG,648,41622
VU,646,41622
GL,577,41622
IW,569,41622
I7,447,41622
"TK,WS",317,41622
"I8,SB",305,41622
"I5,IW",291,41622
"I3,PW",285,41622
"I8,SB,VU",167,41622
"SB,VU",167,41622
I5,164,41622
"I2,SB",155,41622
I4,138,41622
I8,136,41622
I6,130,41622
"I6,IW",116,41622
TK,100,41622
"FM,I2",97,41622
"CK,H5",92,41622
H5,83,41622
LN,82,41622
"FJ,I7",79,41622
"I2,TV",75,41622
"I4,I5",64,41622
"I2,I8,VU",56,41622
"I5,IW,LN",56,41622
TV,56,41622
"H5,I4,I5",53,41622
"H4,TV",50,41622
"FM,PG",50,41622
"H5,I5",49,41622
"FM,MH",49,41622
I3,48,41622
I2,45,41622
"I7,IW",44,41622
"I3,MH",42,41622
"I2,PG",37,41622
"I4,MH",37,41622
"NU,WS",37,41622
"I2,I8,TV",36,41622
"FM,I3",36,41622
"I2,I8,TV,VU",35,41622
"I5,LN",34,41622
"I4,I5,IW",33,41622
"I3,I4",33,41622
NU,31,41622
"I7,VU",31,41622
"GL,I2",27,41622
"CK,I5",27,41622
"FM,I1",26,41622
"AS,TK,WS",26,41622
"CK,I5,IW",25,41622
"I7,I8,VU",25,41622
"I3,I4,MH",24,41622
"I8,TV,VU",24,41622
"AS,CK",24,41622
"FJ,I8",23,41622
"PG,SB",22,41622
"H5,I5,LN",22,41622
"H4,I2,TV",22,41622
"AS,WS",21,41622
"H5,I5,IW",20,41622
"MA,NC",20,41622
"H5,LN",20,41622
"FM,PW",20,41622
"I2,I8",19,41622
"TO,WS",19,41622
"CK,LN",18,41622
"I7,SB",18,41622
"I2,VU",18,41622
I1,18,41622
"H5,I4,I5,IW",17,41622
"FJ,TO",17,41622
"I3,JP,PW",16,41622
"FJ,TV",16,41622
"I2,I8,SB",16,41622
"HW,I6",15,41622
"H4,I4",15,41622
"H4,I4,TV",15,41622
"H4,H5",15,41622
"I1,PW",14,41622
"I4,TV",14,41622
"CK,I9",14,41622
"GL,I4",14,41622
"H5,PX",13,41622
"H5,LN,PX",13,41622
"H5,I5,IW,LN",13,41622
"I6,I7,IW",13,41622
"CK,FM",13,41622
"I2,I8,SB,VU",13,41622
"H4,TK,WS",13,41622
"AU,PG",12,41622
"H5,I4,I5,LN",12,41622
H4,11,41622
"I4,I5,LN",11,41622
"I7,I8",11,41622
"ID,PW",11,41622
"I7,WS",10,41622
"I5,I6,IW",10,41622
"H5,I4,I5,LN,PX",9,41622
"GL,H4,PX",9,41622
"I5,I7,IW",9,41622
"I6,I7",9,41622
ID,9,41622
"TV,VU",9,41622
"AU,SB",9,41622
"CK,H5,I5",9,41622
"GL,MH",8,41622
"H5,I5,LN,PX",8,41622
"I2,I4,TV",8,41622
"I2,I4",8,41622
"I7,TO",8,41622
"H5,I4,I5,PX",8,41622
"H4,WS",8,41622
"I8,TV",7,41622
"I3,I4,I6",7,41622
"I7,NF",7,41622
"H4,TK",7,41622
"AU,I7",7,41622
"FJ,H4,I2,TV",7,41622
"FM,I2,PG",7,41622
"I7,NC",7,41622
"H4,I2",7,41622
"FJ,I2,TV",7,41622
"FJ,VU",7,41622
"I7,NU",7,41622
"I2,I8,PG",7,41622
"I2,TV,VU",6,41622
