vessel_flag,eez_code,offset,count
CK,AS,-11,2
CK,CK,-12,1
CK,CK,-11,210
CK,CK,-10,60
CK,CK,0,1
CK,CK,10,4
CK,CK,11,51
CK,I7,12,54
CK,NU,-12,37
CK,NU,11,3
CK,NU,12,10
CK,TK,-11,8
CK,TK,12,28
CK,WS,-12,2
CK,WS,-11,29
CK,WS,12,22
CN,CK,-11,302
CN,CK,-10,433
CN,CK,0,1
CN,CK,10,73
CN,FJ,-12,6
CN,FJ,-11,1
CN,FJ,12,186
CN,GL,12,29
CN,H5,-11,27
CN,H5,-10,7
CN,I2,-12,6
CN,I2,11,7
CN,I2,12,7
CN,I3,12,3
CN,I8,-11,18
CN,I8,6,1
CN,I8,10,1
CN,I8,11,134
CN,I8,12,61
CN,I9,-10,3
CN,LN,-11,3
CN,MH,11,2
CN,MH,12,124
CN,PF,-11,1
CN,PW,9,48
CN,SB,-12,1
CN,SB,-11,30
CN,SB,-10,1
CN,SB,11,146
CN,SB,12,127
CN,VU,-12,14
CN,VU,-11,121
CN,VU,10,13
CN,VU,11,1854
CN,VU,12,751
FJ,FJ,-12,303
FJ,FJ,-11,299
FJ,FJ,-10,13
FJ,FJ,-9,1
FJ,FJ,0,3
FJ,FJ,7,1
FJ,FJ,8,2
FJ,FJ,9,2
FJ,FJ,10,7
FJ,FJ,11,13
FJ,FJ,12,15054
FJ,GL,12,16
FJ,H4,-12,1
FJ,H4,12,17
FJ,I2,12,40
FJ,I3,12,7
FJ,I4,12,15
FJ,I7,-12,1
FJ,I7,-11,40
FJ,I7,-10,2
FJ,I7,10,1
FJ,I7,12,325
FJ,I8,12,74
FJ,IW,12,1
FJ,MA,12,1
FJ,TO,-11,2465
FJ,TO,-10,2
FJ,TO,-3.5,1
FJ,TO,0,1
FJ,TO,4.5,1
FJ,TO,11,4
FJ,TO,12,8
FJ,TV,-10,1
FJ,TV,10,2
FJ,TV,12,253
FJ,VU,-12,1
FJ,VU,-11,50
FJ,VU,-10,1
FJ,VU,11,12
FJ,VU,12,161
FJ,WF,12,1
FM,CK,-11,414
FM,CK,-10,3
FM,CK,1,32
FM,CK,10,82
FM,FM,-12,1
FM,FM,-10,1
FM,FM,-9,11
FM,FM,-8,18
FM,FM,2,1
FM,FM,10,65
FM,FM,11,28
FM,FM,12,1
FM,H5,-11,14
FM,I2,-9,1
FM,I3,12,1
FM,I4,12,5
FM,I5,-10,3
FM,MH,-12,22
FM,MH,-11,1
FM,MH,12,255
FM,PG,-9,7
FM,PG,-8,2
FM,PG,11,19
JP,FM,11,41
JP,PG,9,16
JP,PG,10,41
KI,CK,-12,1
KI,CK,-11,137
KI,CK,-10,247
KI,CK,-7,1
KI,CK,4,5
KI,CK,5,25
KI,CK,12,115
KI,FJ,-12,1
KI,FJ,12,104
KI,GL,12,11
KI,H4,12,61
KI,H5,12,15
KI,I2,12,22
KI,I4,12,52
KI,I5,-10,27
KI,I5,12,2
KI,I7,-11,1
KI,I7,-10,1
KI,I7,12,302
KI,I8,-10,27
KI,I8,12,11
KI,I9,-10,9
KI,LN,-11,28
KI,TV,12,23
KI,VU,-10,54
KI,VU,11,3
KI,VU,12,69
MH,CK,-11,41
MH,FM,10,38
MH,FM,11,130
MH,GL,-12,1
MH,GL,12,78
MH,I2,12,2
MH,I3,12,5
MH,I4,-12,10
MH,I4,12,5
MH,MH,-12,64
MH,MH,-11,1
