vessel_flag,n_logsheets,n_observer_trips,coverage_pct,n_observer_sets
PF,10122,471,0.046532305868405455,5541
MH,5574,274,0.04915679942590599,2385
FJ,5383,1095,0.20341816830763515,20014
CN,3884,133,0.03424304840370752,4816
NC,2873,166,0.05777932474765054,1368
TW,2685,145,0.054003724394785846,6206
VU,1858,52,0.02798708288482239,5821
FM,1374,48,0.034934497816593885,1100
JP,1262,5,0.003961965134706815,178
TO,1177,126,0.1070518266779949,711
WS,1161,52,0.04478897502153316,624
KI,1100,29,0.026363636363636363,1441
SB,987,17,0.017223910840932118,870
CK,803,20,0.024906600249066,593
KR,468,3,0.00641025641025641,0
BZ,242,1,0.004132231404958678,0
PG,177,1,0.005649717514124294,21
PW,63,0,0,0
AU,42,0,0,0
TV,31,2,0.06451612903225806,105
PH,7,0,0,0
ES,5,0,0,0
LK,4,0,0,0
US,2,1,0.5,18
