eez_code,offset_list,count,observer_trips
FJ,12,884,998
FJ,"-11,12",22,998
FJ,"-12,12",22,998
FJ,-12,15,998
FJ,-11,15,998
FJ,"11,12",10,998
FJ,"-10,12",9,998
FJ,"10,12",6,998
FJ,"-11,11,12",2,998
FJ,"0,12",2,998
FJ,"9,12",2,998
FJ,"-12,-11,12",2,998
FJ,"-12,-9",1,998
FJ,"-12,7,12",1,998
FJ,"-12,-10,12",1,998
FJ,"-11,8,12",1,998
FJ,"-10,11,12",1,998
FJ,"-11,0,12",1,998
FJ,"8,12",1,998
PF,-10,449,464
PF,"-11,-10",4,464
PF,"-10,-8",2,464
PF,"-10,-9",2,464
PF,"-12,-10",2,464
PF,0,1,464
PF,2,1,464
PF,"-10,0",1,464
PF,-11,1,464
PF,-12,1,464
TO,-11,263,310
TO,"-11,12",13,310
TO,12,7,310
TO,"-11,11",5,310
TO,"-11,-10",4,310
TO,"-11,-10,12",4,310
TO,"-11,9",3,310
TO,"-12,-11",1,310
TO,-13,1,310
TO,11,1,310
TO,"11,12",1,310
TO,"-11,11,12",1,310
TO,"-11,-3.5",1,310
TO,"-11,-6",1,310
TO,"-11,0,4.5",1,310
TO,"-11,-10,0",1,310
TO,"-11,-10,11",1,310
TO,9,1,310
MH,12,205,234
MH,-12,7,234
MH,"-10,12",5,234
MH,"11,12",5,234
MH,"-12,12",2,234
MH,"10,12",2,234
MH,11,2,234
MH,"3,4",1,234
MH,4,1,234
MH,"0,12",1,234
MH,"-12,-11",1,234
MH,"-11,12",1,234
MH,-10,1,234
NC,11,130,144
NC,"-11,11",4,144
NC,"10,11",3,144
NC,12,2,144
NC,10,2,144
NC,"-10,11",1,144
NC,"9,10",1,144
NC,"11,12",1,144
VU,11,40,85
VU,12,19,85
VU,"11,12",8,85
VU,-11,3,85
VU,"-12,12",2,85
VU,"10,11",2,85
VU,"10,11,12",2,85
VU,"-11,11",2,85
VU,"-11,11,12",2,85
VU,"-11,12",1,85
VU,-12,1,85
VU,"-11,-10",1,85
VU,-10,1,85
VU,"-10,11,12",1,85
CK,-11,20,49
CK,-10,12,49
CK,"-11,-10",3,49
CK,10,3,49
CK,12,2,49
CK,"-11,0",2,49
CK,"-12,-10",1,49
CK,"-12,-11",1,49
CK,1,1,49
CK,"-10,-7",1,49
CK,"-10,10",1,49
CK,"4,5",1,49
CK,11,1,49
SB,11,20,45
SB,12,8,45
SB,"-11,11",5,45
SB,"11,12",3,45
SB,"-12,12",2,45
SB,"-10,12",2,45
SB,-11,2,45
SB,"-11,10,11",1,45
SB,"-11,12",1,45
SB,"-11,8",1,45
I8,12,20,43
I8,11,18,43
I8,"11,12",1,43
I8,-10,1,43
I8,-11,1,43
I8,"10,11",1,43
I8,"6,12",1,43
I7,12,14,35
I7,-11,4,35
I7,5,3,35
I7,-10,2,35
I7,"-11,-10,12",2,35
I7,"-11,12",2,35
I7,"-10,12",2,35
I7,"-12,12",1,35
I7,"10,12",1,35
I7,"-10,10",1,35
I7,"-11,-10,11,12",1,35
I7,"5,11",1,35
I7,"9,12",1,35
I5,-10,5,24
I5,-11,4,24
I5,12,4,24
I5,-9,3,24
I5,"-10,-9",2,24
I5,"-10,0",1,24
I5,"-11,-10",1,24
I5,"-10,-8",1,24
I5,"-9,-8",1,24
I5,"-9,5",1,24
I5,"11,12",1,24
WS,-11,16,23
WS,12,3,23
WS,"-11,12",2,23
WS,-12,1,23
WS,"-11,-10",1,23
I2,12,10,19
I2,11,4,19
I2,"11,12",1,19
I2,-11,1,19
I2,-12,1,19
I2,-9,1,19
I2,"10,11",1,19
I4,12,9,15
I4,-11,5,15
I4,-12,1,15
FM,11,9,13
FM,"-12,-10,-8,2",1,13
FM,-9,1,13
FM,10,1,13
FM,"10,12",1,13
H5,-11,9,13
H5,12,3,13
H5,-10,1,13
IW,-10,3,13
IW,-9,3,13
IW,12,2,13
IW,"-11,-10",2,13
IW,"-11,11,12",1,13
IW,"-9,-2",1,13
IW,"11,12",1,13
GL,12,11,12
GL,"-12,12",1,12
TK,-11,4,10
TK,12,3,10
TK,"-11,-10",1,10
TK,"-11,12",1,10
TK,11,1,10
PG,10,3,9
PG,11,2,9
PG,9,1,9
PG,"-11,10",1,9
PG,-8,1,9
PG,-9,1,9
TV,12,7,9
TV,"-10,10,12",1,9
TV,"-11,-10",1,9
H4,12,4,8
H4,-11,1,8
H4,"-11,12",1,8
H4,"-12,12",1,8
H4,"11,12",1,8
I3,12,6,8
I3,11,2,8
I6,"-11,-10,11",1,6
I6,"-11,-10,11,12",1,6
I6,"-11,11,12",1,6
I6,"10,11,12",1,6
I6,"11,12",1,6
I6,12,1,6
NU,-11,2,6
NU,12,2,6
NU,"-12,11",1,6
NU,"-13,-12",1,6
AS,-11,4,5
AS,12,1,5
I9,-10,3,3
LN,-11,3,3
PW,9,2,2
WF,-11,1,2
WF,12,1,2
HW,12,1,1
I1,10,1,1
MA,12,1,1
