type,vessel_flag,offset_bucket,count
LonglineLogsheet,CK,-13.5,1
LonglineLogsheet,CK,-13,1
LonglineLogsheet,CK,-12.5,4
LonglineLogsheet,CK,-12,49
LonglineLogsheet,CK,-11.5,17
LonglineLogsheet,CK,-11,275
LonglineLogsheet,CK,-10.5,9
LonglineLogsheet,CK,-10,50
LonglineLogsheet,CK,-9.5,2
LonglineLogsheet,CK,-9,3
LonglineLogsheet,CK,-4,4
LonglineLogsheet,CK,0,6
LonglineLogsheet,CK,7.5,2
LonglineLogsheet,CK,8,1
LonglineLogsheet,CK,9,1
LonglineLogsheet,CK,9.5,1
LonglineLogsheet,CK,10,1
LonglineLogsheet,CK,11,47
LonglineLogsheet,CK,11.5,6
LonglineLogsheet,CK,12,105
LonglineLogsheet,CK,12.5,3
LonglineLogsheet,CK,13,35
LonglineLogsheet,CK,13.5,1
LonglineLogsheet,CK,14,2
LonglineLogsheet,CN,-13.5,1
LonglineLogsheet,CN,-13,2
LonglineLogsheet,CN,-12.5,3
LonglineLogsheet,CN,-12,30
LonglineLogsheet,CN,-11.5,8
LonglineLogsheet,CN,-11,221
LonglineLogsheet,CN,-10.5,18
LonglineLogsheet,CN,-10,226
LonglineLogsheet,CN,-9.5,8
LonglineLogsheet,CN,-9,9
LonglineLogsheet,CN,-8.5,1
LonglineLogsheet,CN,-8,2
LonglineLogsheet,CN,-7.5,1
LonglineLogsheet,CN,-7,1
LonglineLogsheet,CN,-6.5,22
LonglineLogsheet,CN,-6,9
LonglineLogsheet,CN,-5.5,6
LonglineLogsheet,CN,-5,3
LonglineLogsheet,CN,-4.5,5
LonglineLogsheet,CN,-4,1
LonglineLogsheet,CN,0,1
LonglineLogsheet,CN,6,2
LonglineLogsheet,CN,7,2
LonglineLogsheet,CN,7.5,1
LonglineLogsheet,CN,8,6
LonglineLogsheet,CN,8.5,6
LonglineLogsheet,CN,9,44
LonglineLogsheet,CN,9.5,13
LonglineLogsheet,CN,10,125
LonglineLogsheet,CN,10.5,83
LonglineLogsheet,CN,11,1884
LonglineLogsheet,CN,11.5,116
LonglineLogsheet,CN,12,856
LonglineLogsheet,CN,12.5,52
LonglineLogsheet,CN,13,213
LonglineLogsheet,CN,13.5,14
LonglineLogsheet,CN,14,71
LonglineLogsheet,FJ,-14,4
LonglineLogsheet,FJ,-13.5,2
LonglineLogsheet,FJ,-13,2
LonglineLogsheet,FJ,-12.5,6
LonglineLogsheet,FJ,-12,267
LonglineLogsheet,FJ,-11.5,2
LonglineLogsheet,FJ,-11,16
LonglineLogsheet,FJ,-9,1
LonglineLogsheet,FJ,-3.5,1
LonglineLogsheet,FJ,0,4
LonglineLogsheet,FJ,0.5,1
LonglineLogsheet,FJ,2,1
LonglineLogsheet,FJ,3,1
LonglineLogsheet,FJ,4,1
LonglineLogsheet,FJ,4.5,3
LonglineLogsheet,FJ,5,1
LonglineLogsheet,FJ,6,3
LonglineLogsheet,FJ,6.5,1
LonglineLogsheet,FJ,7,3
LonglineLogsheet,FJ,8,7
LonglineLogsheet,FJ,8.5,2
LonglineLogsheet,FJ,9,19
LonglineLogsheet,FJ,9.5,9
LonglineLogsheet,FJ,10,43
LonglineLogsheet,FJ,10.5,31
LonglineLogsheet,FJ,11,175
LonglineLogsheet,FJ,11.5,281
LonglineLogsheet,FJ,12,14660
LonglineLogsheet,FJ,12.5,408
LonglineLogsheet,FJ,13,2556
LonglineLogsheet,FJ,13.5,124
LonglineLogsheet,FJ,14,87
LonglineLogsheet,FM,-13.5,1
LonglineLogsheet,FM,-12.5,3
LonglineLogsheet,FM,-12,35
LonglineLogsheet,FM,-11.5,17
LonglineLogsheet,FM,-11,26
LonglineLogsheet,FM,-10.5,5
LonglineLogsheet,FM,-10,4
LonglineLogsheet,FM,-9.5,2
LonglineLogsheet,FM,-9,11
LonglineLogsheet,FM,-8,23
LonglineLogsheet,FM,0.5,1
LonglineLogsheet,FM,1,30
LonglineLogsheet,FM,1.5,1
LonglineLogsheet,FM,2,1
LonglineLogsheet,FM,7,1
LonglineLogsheet,FM,8,1
LonglineLogsheet,FM,9,1
LonglineLogsheet,FM,9.5,9
LonglineLogsheet,FM,10,110
LonglineLogsheet,FM,10.5,19
LonglineLogsheet,FM,11,41
LonglineLogsheet,FM,11.5,50
LonglineLogsheet,FM,12,160
LonglineLogsheet,FM,12.5,76
LonglineLogsheet,FM,13,290
LonglineLogsheet,FM,13.5,23
LonglineLogsheet,FM,14,19
LonglineLogsheet,KI,-13,1
LonglineLogsheet,KI,-12.5,1
LonglineLogsheet,KI,-12,5
LonglineLogsheet,KI,-11.5,6
LonglineLogsheet,KI,-11,9
LonglineLogsheet,KI,-10.5,32
LonglineLogsheet,KI,-10,166
LonglineLogsheet,KI,-9.5,30
LonglineLogsheet,KI,-9,23
LonglineLogsheet,KI,-8.5,8
LonglineLogsheet,KI,-8,2
LonglineLogsheet,KI,-7.5,1
LonglineLogsheet,KI,-7,1
LonglineLogsheet,KI,-0.5,1
LonglineLogsheet,KI,1,1
LonglineLogsheet,KI,2,1
LonglineLogsheet,KI,5,1
LonglineLogsheet,KI,7,1
LonglineLogsheet,KI,8,1
LonglineLogsheet,KI,8.5,1
LonglineLogsheet,KI,9,1
LonglineLogsheet,KI,10,5
LonglineLogsheet,KI,10.5,3
LonglineLogsheet,KI,11,23
LonglineLogsheet,KI,11.5,28
LonglineLogsheet,KI,12,688
LonglineLogsheet,KI,12.5,27
LonglineLogsheet,KI,13,137
LonglineLogsheet,KI,13.5,9
LonglineLogsheet,KI,14,84
LonglineLogsheet,MH,-13,11
LonglineLogsheet,MH,-12.5,13
LonglineLogsheet,MH,-12,36
LonglineLogsheet,MH,-11,2
LonglineLogsheet,MH,-10.5,1
LonglineLogsheet,MH,-10,1
LonglineLogsheet,MH,-0.5,5
LonglineLogsheet,MH,0,8
LonglineLogsheet,MH,3,1
LonglineLogsheet,MH,3.5,11
LonglineLogsheet,MH,4,11
LonglineLogsheet,MH,6.5,1
LonglineLogsheet,MH,9,5
LonglineLogsheet,MH,9.5,7
LonglineLogsheet,MH,10,84
LonglineLogsheet,MH,10.5,32
LonglineLogsheet,MH,11,134
LonglineLogsheet,MH,11.5,196
LonglineLogsheet,MH,12,1411
LonglineLogsheet,MH,12.5,130
LonglineLogsheet,MH,13,74
LonglineLogsheet,MH,13.5,7
LonglineLogsheet,MH,14,8
LonglineLogsheet,NC,-11,3
LonglineLogsheet,NC,7.5,2
LonglineLogsheet,NC,8,1
LonglineLogsheet,NC,9,4
LonglineLogsheet,NC,9.5,10
LonglineLogsheet,NC,10,28
LonglineLogsheet,NC,10.5,34
LonglineLogsheet,NC,11,916
LonglineLogsheet,NC,11.5,122
LonglineLogsheet,NC,12,33
LonglineLogsheet,NC,12.5,3
LonglineLogsheet,NC,13,5
LonglineLogsheet,NC,13.5,2
LonglineLogsheet,PF,-14,8
LonglineLogsheet,PF,-13.5,1
LonglineLogsheet,PF,-13,4
LonglineLogsheet,PF,-12.5,14
LonglineLogsheet,PF,-12,18
LonglineLogsheet,PF,-11.5,31
LonglineLogsheet,PF,-11,95
LonglineLogsheet,PF,-10.5,352
LonglineLogsheet,PF,-10,3798
LonglineLogsheet,PF,-9.5,463
LonglineLogsheet,PF,-9,146
LonglineLogsheet,PF,-8.5,64
LonglineLogsheet,PF,-8,34
LonglineLogsheet,PF,-7.5,14
LonglineLogsheet,PF,-7,13
LonglineLogsheet,PF,-6.5,6
LonglineLogsheet,PF,-6,4
LonglineLogsheet,PF,-5.5,2
LonglineLogsheet,PF,-5,3
LonglineLogsheet,PF,-4.5,1
LonglineLogsheet,PF,-4,3
LonglineLogsheet,PF,-3.5,2
LonglineLogsheet,PF,-3,1
LonglineLogsheet,PF,-2.5,1
LonglineLogsheet,PF,-2,4
LonglineLogsheet,PF,0,3
LonglineLogsheet,PF,0.5,4
LonglineLogsheet,PF,1,5
LonglineLogsheet,PF,1.5,5
LonglineLogsheet,PF,2,40
LonglineLogsheet,PF,2.5,2
LonglineLogsheet,PF,3,2
LonglineLogsheet,PF,3.5,2
LonglineLogsheet,PF,4,3
LonglineLogsheet,PF,4.5,1
LonglineLogsheet,PF,5,1
LonglineLogsheet,PF,5.5,1
LonglineLogsheet,PF,7.5,1
LonglineLogsheet,PF,13,1
LonglineLogsheet,PF,13.5,4
LonglineLogsheet,PF,14,47
LonglineLogsheet,PG,10,20
LonglineLogsheet,SB,-13,1
LonglineLogsheet,SB,-11,1
LonglineLogsheet,SB,9,1
LonglineLogsheet,SB,9.5,2
LonglineLogsheet,SB,10,15
LonglineLogsheet,SB,10.5,12
LonglineLogsheet,SB,11,546
LonglineLogsheet,SB,11.5,31
LonglineLogsheet,SB,12,241
LonglineLogsheet,SB,12.5,8
LonglineLogsheet,SB,13,61
LonglineLogsheet,SB,13.5,1
LonglineLogsheet,SB,14,2
LonglineLogsheet,TO,-11,4
LonglineLogsheet,TO,-8.5,1
LonglineLogsheet,TO,-3,1
LonglineLogsheet,TO,1,1
LonglineLogsheet,TO,3,2
LonglineLogsheet,TO,9,3
LonglineLogsheet,TO,9.5,2
LonglineLogsheet,TO,10.5,1
LonglineLogsheet,TO,11,10
LonglineLogsheet,TO,11.5,3
LonglineLogsheet,TO,12,25
LonglineLogsheet,TO,12.5,16
LonglineLogsheet,TO,13,400
LonglineLogsheet,TO,13.5,15
LonglineLogsheet,TO,14,13
LonglineLogsheet,TV,10.5,1
LonglineLogsheet,TV,12,48
LonglineLogsheet,TV,12.5,2
LonglineLogsheet,TV,13,49
LonglineLogsheet,TV,13.5,2
LonglineLogsheet,TV,14,1
LonglineLogsheet,TW,-14,7
LonglineLogsheet,TW,-13,5
LonglineLogsheet,TW,-11.5,5
LonglineLogsheet,TW,-11,39
LonglineLogsheet,TW,-10.5,1
LonglineLogsheet,TW,-10,1
LonglineLogsheet,TW,0,2
LonglineLogsheet,TW,3.5,1
LonglineLogsheet,TW,4,1
LonglineLogsheet,TW,4.5,3
LonglineLogsheet,TW,5,7
LonglineLogsheet,TW,5.5,11
LonglineLogsheet,TW,6,7
LonglineLogsheet,TW,6.5,9
LonglineLogsheet,TW,7,6
LonglineLogsheet,TW,7.5,8
LonglineLogsheet,TW,8,6
LonglineLogsheet,TW,8.5,2
LonglineLogsheet,TW,9,2
LonglineLogsheet,TW,9.5,4
LonglineLogsheet,TW,10,7
LonglineLogsheet,TW,10.5,20
LonglineLogsheet,TW,11,224
LonglineLogsheet,TW,11.5,51
LonglineLogsheet,TW,12,289
LonglineLogsheet,TW,12.5,283
LonglineLogsheet,TW,13,3661
LonglineLogsheet,TW,13.5,250
LonglineLogsheet,TW,14,300
LonglineLogsheet,US,13,18
LonglineLogsheet,VU,-14,10
LonglineLogsheet,VU,-13.5,9
LonglineLogsheet,VU,-13,21
LonglineLogsheet,VU,-12.5,19
LonglineLogsheet,VU,-12,55
LonglineLogsheet,VU,-11.5,16
LonglineLogsheet,VU,-11,105
LonglineLogsheet,VU,-10.5,12
LonglineLogsheet,VU,-10,160
LonglineLogsheet,VU,-9.5,7
LonglineLogsheet,VU,-9,91
LonglineLogsheet,VU,-8.5,2
LonglineLogsheet,VU,-8,10
LonglineLogsheet,VU,-7.5,3
LonglineLogsheet,VU,-7,2
LonglineLogsheet,VU,-6.5,3
LonglineLogsheet,VU,-6,4
LonglineLogsheet,VU,-5.5,1
LonglineLogsheet,VU,-2.5,1
LonglineLogsheet,VU,-1,1
LonglineLogsheet,VU,0,1
LonglineLogsheet,VU,0.5,1
LonglineLogsheet,VU,1,3
LonglineLogsheet,VU,1.5,1
LonglineLogsheet,VU,2,4
LonglineLogsheet,VU,2.5,4
LonglineLogsheet,VU,3,4
LonglineLogsheet,VU,3.5,5
LonglineLogsheet,VU,4,9
LonglineLogsheet,VU,4.5,10
LonglineLogsheet,VU,5,8
LonglineLogsheet,VU,5.5,8
LonglineLogsheet,VU,6,5
LonglineLogsheet,VU,6.5,4
LonglineLogsheet,VU,7,3
LonglineLogsheet,VU,7.5,3
LonglineLogsheet,VU,8,1
LonglineLogsheet,VU,8.5,3
LonglineLogsheet,VU,9,5
LonglineLogsheet,VU,9.5,3
LonglineLogsheet,VU,10,90
LonglineLogsheet,VU,10.5,11
LonglineLogsheet,VU,11,166
LonglineLogsheet,VU,11.5,16
LonglineLogsheet,VU,12,326
LonglineLogsheet,VU,12.5,10
LonglineLogsheet,VU,13,177
LonglineLogsheet,VU,13.5,37
LonglineLogsheet,VU,14,89
LonglineLogsheet,WS,-14,1
LonglineLogsheet,WS,-13.5,1
LonglineLogsheet,WS,-13,1
LonglineLogsheet,WS,-12.5,3
LonglineLogsheet,WS,-12,4
LonglineLogsheet,WS,-11.5,4
LonglineLogsheet,WS,-11,110
LonglineLogsheet,WS,-10.5,6
LonglineLogsheet,WS,-10,2
LonglineLogsheet,WS,-8,1
LonglineLogsheet,WS,7.5,1
LonglineLogsheet,WS,10,2
LonglineLogsheet,WS,10.5,1
LonglineLogsheet,WS,11,73
LonglineLogsheet,WS,11.5,9
LonglineLogsheet,WS,12,115
LonglineLogsheet,WS,12.5,15
LonglineLogsheet,WS,13,156
LonglineLogsheet,WS,13.5,14
LonglineLogsheet,WS,14,9
PurseseineLogsheet,CK,-14,16
PurseseineLogsheet,CK,-13.5,11
PurseseineLogsheet,CK,-13,11
PurseseineLogsheet,CK,-12.5,5
PurseseineLogsheet,CK,-12,4
PurseseineLogsheet,CK,-11.5,4
PurseseineLogsheet,CK,-10.5,1
PurseseineLogsheet,CK,-10,1
PurseseineLogsheet,CK,-9,1
PurseseineLogsheet,CK,-8,1
PurseseineLogsheet,CK,-3,1
PurseseineLogsheet,CK,-1,2
PurseseineLogsheet,CK,0,37
PurseseineLogsheet,CK,0.5,93
PurseseineLogsheet,CK,1,76
PurseseineLogsheet,CK,1.5,38
PurseseineLogsheet,CK,2,19
PurseseineLogsheet,CK,2.5,14
PurseseineLogsheet,CK,3,7
PurseseineLogsheet,CK,3.5,13
PurseseineLogsheet,CK,4,8
PurseseineLogsheet,CK,4.5,11
PurseseineLogsheet,CK,5,11
PurseseineLogsheet,CK,5.5,11
PurseseineLogsheet,CK,6,5
PurseseineLogsheet,CK,6.5,6
PurseseineLogsheet,CK,7,8
PurseseineLogsheet,CK,7.5,1
PurseseineLogsheet,CK,8.5,1
PurseseineLogsheet,CK,9.5,1
PurseseineLogsheet,CN,-1.5,2
PurseseineLogsheet,CN,-1,3
PurseseineLogsheet,CN,0.5,8
PurseseineLogsheet,CN,1,7
PurseseineLogsheet,CN,3.5,1
PurseseineLogsheet,CN,4,1
PurseseineLogsheet,CN,5,2
PurseseineLogsheet,CN,5.5,4
PurseseineLogsheet,CN,6,8
PurseseineLogsheet,CN,6.5,6
PurseseineLogsheet,CN,7,6
PurseseineLogsheet,CN,7.5,6
PurseseineLogsheet,CN,8,9
PurseseineLogsheet,CN,8.5,5
PurseseineLogsheet,CN,9,9
PurseseineLogsheet,CN,9.5,9
PurseseineLogsheet,CN,10,11
PurseseineLogsheet,CN,10.5,6
PurseseineLogsheet,CN,11,13
PurseseineLogsheet,CN,11.5,9
PurseseineLogsheet,CN,12,9
PurseseineLogsheet,CN,12.5,6
PurseseineLogsheet,CN,13,4
PurseseineLogsheet,CN,13.5,3
PurseseineLogsheet,CN,14,1
PurseseineLogsheet,EC,-13.5,1
PurseseineLogsheet,EC,-11,5
PurseseineLogsheet,EC,-10.5,1
PurseseineLogsheet,EC,-10,21
PurseseineLogsheet,EC,-9.5,51
PurseseineLogsheet,EC,-9,17
PurseseineLogsheet,EC,-8.5,22
PurseseineLogsheet,EC,-8,18
PurseseineLogsheet,EC,-7.5,14
PurseseineLogsheet,EC,-7,6
PurseseineLogsheet,EC,-6.5,5
PurseseineLogsheet,EC,-6,1
PurseseineLogsheet,EC,-5.5,2
PurseseineLogsheet,EC,-5,1
PurseseineLogsheet,EC,-4.5,1
PurseseineLogsheet,EC,-4,1
PurseseineLogsheet,EC,-3.5,2
PurseseineLogsheet,EC,-2,4
PurseseineLogsheet,EC,-1.5,2
PurseseineLogsheet,EC,-1,5
PurseseineLogsheet,EC,0,177
PurseseineLogsheet,EC,0.5,340
PurseseineLogsheet,EC,1,171
PurseseineLogsheet,EC,1.5,54
PurseseineLogsheet,EC,2,27
PurseseineLogsheet,EC,2.5,20
PurseseineLogsheet,EC,3,8
PurseseineLogsheet,EC,3.5,17
PurseseineLogsheet,EC,4,17
PurseseineLogsheet,EC,4.5,12
PurseseineLogsheet,EC,5,14
PurseseineLogsheet,EC,5.5,15
PurseseineLogsheet,EC,6,28
PurseseineLogsheet,EC,6.5,23
PurseseineLogsheet,EC,7,7
PurseseineLogsheet,EC,7.5,3
PurseseineLogsheet,EC,8,2
PurseseineLogsheet,EC,8.5,6
PurseseineLogsheet,EC,9,6
PurseseineLogsheet,EC,9.5,8
PurseseineLogsheet,EC,10,3
PurseseineLogsheet,EC,10.5,6
PurseseineLogsheet,EC,12,1
PurseseineLogsheet,EC,12.5,1
PurseseineLogsheet,EC,13,1
PurseseineLogsheet,EC,13.5,2
PurseseineLogsheet,EC,14,1
PurseseineLogsheet,ES,-13,1
PurseseineLogsheet,ES,-10.5,1
PurseseineLogsheet,ES,-10,12
PurseseineLogsheet,ES,-9.5,30
PurseseineLogsheet,ES,-9,41
PurseseineLogsheet,ES,-8.5,37
PurseseineLogsheet,ES,-8,15
PurseseineLogsheet,ES,-7.5,4
PurseseineLogsheet,ES,-7,2
PurseseineLogsheet,ES,-6.5,2
PurseseineLogsheet,ES,-6,2
PurseseineLogsheet,ES,-5,1
PurseseineLogsheet,ES,-4.5,1
PurseseineLogsheet,ES,-4,1
PurseseineLogsheet,ES,-3.5,1
PurseseineLogsheet,ES,-2.5,1
PurseseineLogsheet,ES,-2,1
PurseseineLogsheet,ES,-1.5,1
PurseseineLogsheet,ES,-1,1
PurseseineLogsheet,ES,-0.5,1
PurseseineLogsheet,ES,0,31
PurseseineLogsheet,ES,0.5,86
PurseseineLogsheet,ES,1,140
PurseseineLogsheet,ES,1.5,61
PurseseineLogsheet,ES,2,15
PurseseineLogsheet,ES,2.5,6
PurseseineLogsheet,ES,3,3
PurseseineLogsheet,ES,3.5,3
PurseseineLogsheet,ES,4,4
PurseseineLogsheet,ES,4.5,7
PurseseineLogsheet,ES,5,3
PurseseineLogsheet,ES,6,2
PurseseineLogsheet,ES,6.5,1
PurseseineLogsheet,ES,7,1
PurseseineLogsheet,ES,8,1
PurseseineLogsheet,ES,10.5,1
