type,instance_source,offset_bucket,count
LonglineLogsheet,2,-13,2
LonglineLogsheet,2,-12,51
LonglineLogsheet,2,-11,103
LonglineLogsheet,2,-10,195
LonglineLogsheet,2,0,1
LonglineLogsheet,2,9,34
LonglineLogsheet,2,10,168
LonglineLogsheet,2,11,222
LonglineLogsheet,2,12,220
LonglineLogsheet,2,14,72
LonglineLogsheet,4,-12,97
LonglineLogsheet,4,-11,1
LonglineLogsheet,4,0,1
LonglineLogsheet,4,3,1
LonglineLogsheet,4,4,22
LonglineLogsheet,4,10,2
LonglineLogsheet,4,11,27
LonglineLogsheet,4,12,2374
LonglineLogsheet,4,13,1
LonglineLogsheet,4,14,10
LonglineLogsheet,8,-12,2
LonglineLogsheet,8,-10,2
LonglineLogsheet,8,-9,38
LonglineLogsheet,8,-8,40
LonglineLogsheet,8,1,32
LonglineLogsheet,8,2,2
LonglineLogsheet,8,10,141
LonglineLogsheet,8,11,117
LonglineLogsheet,8,12,12
LonglineLogsheet,8,13,173
LonglineLogsheet,8,14,10
LonglineLogsheet,16,-12,3
LonglineLogsheet,16,-11,501
LonglineLogsheet,16,-10,430
LonglineLogsheet,16,-7,1
LonglineLogsheet,16,0,1
LonglineLogsheet,16,4,5
LonglineLogsheet,16,5,25
LonglineLogsheet,16,10,48
LonglineLogsheet,16,11,82
LonglineLogsheet,16,12,193
LonglineLogsheet,16,13,600
LonglineLogsheet,16,14,4
LonglineLogsheet,64,-11,3
LonglineLogsheet,64,9,2
LonglineLogsheet,64,10,30
LonglineLogsheet,64,11,1295
LonglineLogsheet,64,12,18
LonglineLogsheet,64,13,4
LonglineLogsheet,64,14,1
LonglineLogsheet,128,-10,150
LonglineLogsheet,128,12,96
LonglineLogsheet,256,-13,17
LonglineLogsheet,256,-12,1
LonglineLogsheet,256,-11,61
LonglineLogsheet,256,-6,1
LonglineLogsheet,256,-3.5,1
LonglineLogsheet,256,0,2
LonglineLogsheet,256,4.5,1
LonglineLogsheet,256,9,6
LonglineLogsheet,256,11,18
LonglineLogsheet,256,12,107
LonglineLogsheet,256,13,7948
LonglineLogsheet,256,14,13
LonglineLogsheet,512,-12,39
LonglineLogsheet,512,-11,100
LonglineLogsheet,512,-10,2
LonglineLogsheet,512,11,3
LonglineLogsheet,512,12,140
LonglineLogsheet,512,13,367
LonglineLogsheet,512,14,10
LonglineLogsheet,1024,-12,13
LonglineLogsheet,1024,-11,4
LonglineLogsheet,1024,-10,5359
LonglineLogsheet,1024,-9,3
LonglineLogsheet,1024,-8,2
LonglineLogsheet,1024,-4,1
LonglineLogsheet,1024,0,16
LonglineLogsheet,1024,2,17
LonglineLogsheet,1024,14,71
LonglineLogsheet,16384,13,53
LonglineLogsheet,16384,14,1
LonglineLogsheet,32768,-12,22
LonglineLogsheet,32768,-11,839
LonglineLogsheet,32768,-10,949
LonglineLogsheet,32768,-9,1124
LonglineLogsheet,32768,-8,18
LonglineLogsheet,32768,-5,4
LonglineLogsheet,32768,-2,2
LonglineLogsheet,32768,0,9
LonglineLogsheet,32768,5,339
LonglineLogsheet,32768,10,172
LonglineLogsheet,32768,11,2532
LonglineLogsheet,32768,12,1823
LonglineLogsheet,32768,13,532
LonglineLogsheet,32768,14,406
LonglineLogsheet,65536,9,53
LonglineLogsheet,262144,-12,3
LonglineLogsheet,262144,-11,1
LonglineLogsheet,262144,6,1
LonglineLogsheet,262144,8,1
LonglineLogsheet,262144,10,5
LonglineLogsheet,262144,11,1139
LonglineLogsheet,262144,12,493
LonglineLogsheet,262144,13,171
LonglineLogsheet,262144,14,2
LonglineLogsheet,524288,-12,297
LonglineLogsheet,524288,-11,2
LonglineLogsheet,524288,-10,1
LonglineLogsheet,524288,-9,1
LonglineLogsheet,524288,0,3
LonglineLogsheet,524288,7,1
LonglineLogsheet,524288,8,2
LonglineLogsheet,524288,9,2
LonglineLogsheet,524288,10,10
LonglineLogsheet,524288,11,18
LonglineLogsheet,524288,12,17108
LonglineLogsheet,524288,13,379
LonglineLogsheet,524288,14,97
PurseseineLogsheet,2,-14,1
PurseseineLogsheet,2,-12,87
PurseseineLogsheet,2,-11,364
PurseseineLogsheet,2,-10,897
PurseseineLogsheet,2,-9,1028
PurseseineLogsheet,2,-8,415
PurseseineLogsheet,2,-7,389
PurseseineLogsheet,2,-6,284
PurseseineLogsheet,2,-5,256
PurseseineLogsheet,2,-4,2
PurseseineLogsheet,2,-3,5
PurseseineLogsheet,2,-2,1
PurseseineLogsheet,2,-1,2
PurseseineLogsheet,2,0,50
PurseseineLogsheet,2,1,6
PurseseineLogsheet,2,2,5
PurseseineLogsheet,2,3,3
PurseseineLogsheet,2,4,2
PurseseineLogsheet,2,5,11
PurseseineLogsheet,2,6,46
PurseseineLogsheet,2,7,53
PurseseineLogsheet,2,8,1466
PurseseineLogsheet,2,9,43493
PurseseineLogsheet,2,10,15600
PurseseineLogsheet,2,11,8874
PurseseineLogsheet,2,12,11029
PurseseineLogsheet,2,13,1692
PurseseineLogsheet,2,14,601
PurseseineLogsheet,4,-13,1
PurseseineLogsheet,4,-12,217
PurseseineLogsheet,4,-11,109
PurseseineLogsheet,4,-10,12
PurseseineLogsheet,4,-8,1
PurseseineLogsheet,4,-7,2
PurseseineLogsheet,4,-6,1
PurseseineLogsheet,4,-4,1
PurseseineLogsheet,4,-2,1
PurseseineLogsheet,4,0,5
PurseseineLogsheet,4,6,2
PurseseineLogsheet,4,7,16
PurseseineLogsheet,4,8,162
PurseseineLogsheet,4,9,136
PurseseineLogsheet,4,10,1229
PurseseineLogsheet,4,11,4461
PurseseineLogsheet,4,12,18168
PurseseineLogsheet,4,13,1141
PurseseineLogsheet,4,14,188
PurseseineLogsheet,8,-13,2
PurseseineLogsheet,8,-12,59
PurseseineLogsheet,8,-11,74
PurseseineLogsheet,8,-10,9
PurseseineLogsheet,8,-6,1
PurseseineLogsheet,8,-3,1
PurseseineLogsheet,8,-2,1
PurseseineLogsheet,8,-1,9
PurseseineLogsheet,8,0,5
PurseseineLogsheet,8,1,2
PurseseineLogsheet,8,2,1
PurseseineLogsheet,8,4,1
PurseseineLogsheet,8,5,1
PurseseineLogsheet,8,6,2
PurseseineLogsheet,8,7,11
PurseseineLogsheet,8,8,311
PurseseineLogsheet,8,9,3597
PurseseineLogsheet,8,10,6262
PurseseineLogsheet,8,11,11511
PurseseineLogsheet,8,12,5787
PurseseineLogsheet,8,13,2132
PurseseineLogsheet,8,14,333
PurseseineLogsheet,16,-12,25
PurseseineLogsheet,16,-11,849
PurseseineLogsheet,16,-10,331
PurseseineLogsheet,16,-9,58
PurseseineLogsheet,16,-8,48
PurseseineLogsheet,16,-7,37
PurseseineLogsheet,16,-6,38
PurseseineLogsheet,16,-5,37
PurseseineLogsheet,16,-4,1
PurseseineLogsheet,16,0,2
PurseseineLogsheet,16,5,1
PurseseineLogsheet,16,6,1
PurseseineLogsheet,16,10,1
PurseseineLogsheet,16,11,2
PurseseineLogsheet,16,12,6
PurseseineLogsheet,16,13,129
PurseseineLogsheet,16,14,18
PurseseineLogsheet,32,-14,1
PurseseineLogsheet,32,-12,1400
PurseseineLogsheet,32,-11,6790
PurseseineLogsheet,32,-10,3504
PurseseineLogsheet,32,-9,1235
PurseseineLogsheet,32,-8,498
PurseseineLogsheet,32,-7,327
PurseseineLogsheet,32,-6,220
PurseseineLogsheet,32,-5,174
PurseseineLogsheet,32,-4,6
PurseseineLogsheet,32,-3,29
PurseseineLogsheet,32,-2,6
PurseseineLogsheet,32,-1,57
PurseseineLogsheet,32,0,19
PurseseineLogsheet,32,1,3
PurseseineLogsheet,32,3,3
PurseseineLogsheet,32,5,1
PurseseineLogsheet,32,6,3
PurseseineLogsheet,32,7,22
PurseseineLogsheet,32,8,101
PurseseineLogsheet,32,9,110
PurseseineLogsheet,32,10,1127
PurseseineLogsheet,32,11,3839
PurseseineLogsheet,32,12,6596
PurseseineLogsheet,32,13,2061
PurseseineLogsheet,32,14,1247
PurseseineLogsheet,128,-13,1
PurseseineLogsheet,128,-12,386
PurseseineLogsheet,128,-11,90
PurseseineLogsheet,128,-10,151
PurseseineLogsheet,128,-9,20
PurseseineLogsheet,128,-8,9
PurseseineLogsheet,128,-7,6
PurseseineLogsheet,128,-6,13
PurseseineLogsheet,128,-2,2
PurseseineLogsheet,128,0,4
PurseseineLogsheet,128,1,5
PurseseineLogsheet,128,2,7
PurseseineLogsheet,128,5,1
PurseseineLogsheet,128,6,4
PurseseineLogsheet,128,7,11
PurseseineLogsheet,128,8,229
PurseseineLogsheet,128,9,578
PurseseineLogsheet,128,10,2758
PurseseineLogsheet,128,11,6699
PurseseineLogsheet,128,12,25974
PurseseineLogsheet,128,13,6077
PurseseineLogsheet,128,14,3550
PurseseineLogsheet,2048,-12,92
PurseseineLogsheet,2048,-11,7
PurseseineLogsheet,2048,-6,1
PurseseineLogsheet,2048,-1,3
PurseseineLogsheet,2048,0,2
PurseseineLogsheet,2048,1,2
PurseseineLogsheet,2048,5,3
PurseseineLogsheet,2048,6,2
PurseseineLogsheet,2048,7,4
PurseseineLogsheet,2048,8,169
PurseseineLogsheet,2048,9,174
PurseseineLogsheet,2048,10,1996
PurseseineLogsheet,2048,11,4986
PurseseineLogsheet,2048,12,7095
PurseseineLogsheet,2048,13,711
PurseseineLogsheet,2048,14,125
PurseseineLogsheet,8192,-12,21
PurseseineLogsheet,8192,-10,4
PurseseineLogsheet,8192,-9,1
PurseseineLogsheet,8192,-6,1
PurseseineLogsheet,8192,-4,2
PurseseineLogsheet,8192,-3,1
PurseseineLogsheet,8192,-2,3
PurseseineLogsheet,8192,-1,1
PurseseineLogsheet,8192,0,7
PurseseineLogsheet,8192,2,2
PurseseineLogsheet,8192,4,3
PurseseineLogsheet,8192,5,1
PurseseineLogsheet,8192,6,4
PurseseineLogsheet,8192,7,11
PurseseineLogsheet,8192,8,255
PurseseineLogsheet,8192,9,389
PurseseineLogsheet,8192,10,34151
PurseseineLogsheet,8192,11,5830
PurseseineLogsheet,8192,12,1104
PurseseineLogsheet,8192,13,166
PurseseineLogsheet,8192,14,51
PurseseineLogsheet,16384,-12,53
PurseseineLogsheet,16384,-11,12
PurseseineLogsheet,16384,-10,24
PurseseineLogsheet,16384,-8,1
PurseseineLogsheet,16384,-7,1
PurseseineLogsheet,16384,1,2
PurseseineLogsheet,16384,2,3
PurseseineLogsheet,16384,4,1
PurseseineLogsheet,16384,7,1
PurseseineLogsheet,16384,8,29
PurseseineLogsheet,16384,9,132
PurseseineLogsheet,16384,10,1427
PurseseineLogsheet,16384,11,1276
PurseseineLogsheet,16384,12,6094
