eez_list,trip_count,total_trips
PG,3672,20444
"FM,PG",1925,20444
FM,1145,20444
SB,825,20444
GL,746,20444
"PG,SB",668,20444
"GL,NR",578,20444
PH,568,20444
"FM,PG,SB",374,20444
"GL,TV",370,20444
I1,353,20444
"GL,MH,NR",302,20444
"FM,NR,PG",281,20444
"GL,I4",162,20444
"GL,NR,TV",157,20444
"FM,GL,NR,PG",155,20444
"GL,MH",154,20444
"GL,NR,PG",151,20444
"FM,GL,MH,NR",133,20444
IW,129,20444
"NR,PG,SB",121,20444
"GL,H4,PX,TV",118,20444
"I5,IW",114,20444
"FM,NR",114,20444
"GL,NR,PG,SB",110,20444
LN,110,20444
NR,108,20444
"NR,PG",106,20444
"I5,IW,LN",97,20444
"FM,GL,MH,NR,PG",96,20444
"FM,GL,NR",94,20444
"GL,PX",93,20444
"GL,NR,SB",91,20444
"GL,PX,TV",89,20444
"FM,NR,PG,SB",89,20444
"FM,MH,PG",86,20444
"FM,MH,NR,PG",82,20444
"I5,LN",77,20444
"H5,PX",72,20444
"FM,GL,NR,PG,SB",71,20444
JP,70,20444
"GL,H4,PX",70,20444
"GL,H4,I4",70,20444
PX,68,20444
"GL,H4,TV",66,20444
"GL,SB,TV",66,20444
"FM,MH",66,20444
"FM,MH,NR",64,20444
"I4,I5",63,20444
"MH,NR",59,20444
"GL,PG,SB",59,20444
"GL,SB",57,20444
TV,56,20444
"GL,I4,MH",54,20444
"GL,NR,SB,TV",53,20444
"FM,GL,PG",53,20444
"GL,PG",48,20444
"GL,I4,NR",45,20444
"GL,MH,NR,PG",44,20444
"GL,NR,PG,TV",43,20444
"GL,H4",43,20444
"GL,I4,MH,NR",43,20444
MH,42,20444
I4,42,20444
"GL,MH,NR,TV",42,20444
"PX,TV",41,20444
"GL,MH,TV",39,20444
"SB,TV",39,20444
"H5,LN",38,20444
"GL,MH,NR,PG,SB",38,20444
"GL,NR,PG,SB,TV",37,20444
H5,37,20444
"IW,LN",36,20444
"IW,JP",36,20444
"FM,GL,MH",36,20444
"GL,H4,I4,TV",35,20444
"FM,GL",34,20444
"H5,I5",34,20444
"FM,GL,PG,SB",33,20444
"FM,SB",33,20444
"H5,I5,LN",33,20444
"GL,PG,SB,TV",33,20444
"CK,LN",32,20444
"GL,PX,TK,TV",31,20444
"GL,I4,I5",29,20444
I5,29,20444
"FM,MH,NR,PG,SB",28,20444
"GL,I4,TV",28,20444
"FM,GL,NR,PG,TV",28,20444
"LN,PX",28,20444
"PX,TK,TV",28,20444
"H4,PX,TV",27,20444
"GL,PG,TV",26,20444
"GL,H4,PX,TK,TV",26,20444
"CK,H5,LN",26,20444
"PG,SB,TV",26,20444
"MH,NR,PG,SB",25,20444
"GL,H4,NR,TV",25,20444
"GL,H4,I4,PX",24,20444
"FM,GL,NR,TV",24,20444
"GL,MH,NR,SB",24,20444
"H5,I5,LN,PX",22,20444
"FM,GL,MH,PG",22,20444
"ID,PH",22,20444
"CK,H5",21,20444
"PX,TK",21,20444
"H5,I5,IW,LN",21,20444
"H4,PX,TK,TV",21,20444
"H5,I5,PX",20,20444
"H5,PX,TK",20,20444
"FM,PG,PW",20,20444
"NR,SB",19,20444
"FM,GL,MH,NR,PG,SB",19,20444
"GL,NR,PX",19,20444
"GL,H4,H5,PX,TV",18,20444
"H5,I4,I5",18,20444
"FM,PW",18,20444
"MH,NR,PG",17,20444
"CK,I5,IW,LN",17,20444
"H5,LN,PX",17,20444
"FM,NR,SB",16,20444
"FM,GL,PG,TV",16,20444
