eez_list,trip_count,total_trips
PG,3684,20668
"FM,PG",1939,20668
FM,1145,20668
SB,827,20668
GL,750,20668
"PG,SB",671,20668
"GL,NR",578,20668
PH,570,20668
I1,488,20668
"FM,PG,SB",375,20668
"GL,TV",371,20668
"GL,MH,NR",302,20668
"FM,NR,PG",282,20668
"GL,I4",166,20668
"GL,NR,TV",158,20668
"FM,GL,NR,PG",156,20668
"GL,MH",154,20668
"GL,NR,PG",151,20668
"FM,GL,MH,NR",135,20668
IW,130,20668
"NR,PG,SB",122,20668
"GL,H4,PX,TV",118,20668
"FM,NR",116,20668
"I5,IW",114,20668
"GL,NR,PG,SB",111,20668
LN,110,20668
NR,108,20668
"NR,PG",106,20668
"I5,IW,LN",97,20668
"FM,GL,MH,NR,PG",96,20668
"GL,PX",94,20668
"FM,GL,NR",94,20668
"GL,NR,SB",92,20668
"GL,PX,TV",91,20668
"FM,NR,PG,SB",89,20668
"FM,MH,PG",86,20668
"FM,MH,NR,PG",83,20668
"I5,LN",77,20668
"H5,PX",72,20668
"FM,GL,NR,PG,SB",71,20668
JP,70,20668
"GL,H4,PX",70,20668
"GL,H4,I4",70,20668
PX,69,20668
"FM,MH",67,20668
"GL,SB,TV",66,20668
"GL,H4,TV",66,20668
"FM,MH,NR",65,20668
"I4,I5",63,20668
"MH,NR",60,20668
"GL,PG,SB",59,20668
"GL,SB",58,20668
"GL,I4,MH",57,20668
TV,56,20668
"FM,GL,PG",56,20668
"GL,NR,SB,TV",53,20668
"GL,PG",48,20668
"GL,I4,NR",45,20668
"GL,MH,NR,PG",44,20668
MH,44,20668
"GL,NR,PG,TV",43,20668
"GL,I4,MH,NR",43,20668
"GL,H4",43,20668
I4,42,20668
"GL,MH,NR,TV",42,20668
"PX,TV",41,20668
"GL,MH,TV",39,20668
"SB,TV",39,20668
"GL,MH,NR,PG,SB",38,20668
"GL,NR,PG,SB,TV",38,20668
"H5,LN",38,20668
H5,37,20668
"IW,JP",36,20668
"IW,LN",36,20668
"FM,GL,MH",36,20668
"GL,H4,I4,TV",35,20668
"GL,PG,SB,TV",34,20668
"FM,GL",34,20668
"H5,I5",34,20668
"H5,I5,LN",33,20668
"FM,GL,PG,SB",33,20668
"FM,SB",33,20668
"CK,LN",32,20668
"GL,PX,TK,TV",31,20668
"GL,I4,I5",30,20668
I5,29,20668
"GL,I4,TV",28,20668
"PX,TK,TV",28,20668
"LN,PX",28,20668
"FM,MH,NR,PG,SB",28,20668
"FM,GL,NR,PG,TV",28,20668
"H4,PX,TV",27,20668
"CK,H5,LN",26,20668
"GL,PG,TV",26,20668
"PG,SB,TV",26,20668
"GL,H4,PX,TK,TV",26,20668
"GL,H4,NR,TV",25,20668
"FM,GL,NR,TV",25,20668
"GL,H4,I4,PX",25,20668
"GL,MH,NR,SB",25,20668
"MH,NR,PG,SB",25,20668
"FM,GL,MH,PG",23,20668
"ID,PH",22,20668
"H5,I5,LN,PX",22,20668
"PX,TK",21,20668
"CK,H5",21,20668
"H4,PX,TK,TV",21,20668
"H5,I5,IW,LN",21,20668
"H5,I5,PX",20,20668
"H5,PX,TK",20,20668
"FM,PG,PW",20,20668
"FM,GL,MH,NR,PG,SB",19,20668
"GL,NR,PX",19,20668
"H5,I4,I5",18,20668
"GL,H4,H5,PX,TV",18,20668
"NR,SB",18,20668
"FM,PW",18,20668
"GL,H4,H5,PX",17,20668
"H5,LN,PX",17,20668
"CK,I5,IW,LN",17,20668
"MH,NR,PG",17,20668
"FM,MH,PG,SB",16,20668
"FM,NR,SB",16,20668
"FM,GL,PG,TV",16,20668
"GL,H4,I4,PX,TV",16,20668
"FM,GL,NR,PG,SB,TV",15,20668
"FM,GL,PG,SB,TV",15,20668
"GL,H4,SB,TV",15,20668
"I5,LN,PX",15,20668
"H4,H5,PX",15,20668
"I4,MH",14,20668
"GL,I4,PX",14,20668
"I1,ID",14,20668
"NR,TV",14,20668
"H5,I4,PX",13,20668
"GL,H4,I4,NR",13,20668
"GL,MH,PG,SB",13,20668
"FM,PG,SB,TV",13,20668
"CK,H5,PX",13,20668
"GL,H4,I4,I5,PX",12,20668
"GL,NR,PX,TV",12,20668
"GL,H5,I4,I5,PX",12,20668
"FM,I1",12,20668
