log_trip_id,instance_source,nautical_offset,set_hour,school_type
40DFCD4F-1A0D-C09B-4762-39DA04F1AD97,128,11,17,associated group
40DFCD4F-1A0D-C09B-4762-39DA04F1AD97,128,12,17,associated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,5,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,6,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,4,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,20,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,2,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,1,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,18,associated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,3,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,19,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,7,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,23,unassociated group
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,8192,10,22,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,4,associated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,6,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,7,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,14,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,10,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,13,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,18,unassociated group
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,8192,10,16,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,2,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,17,associated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,4,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,0,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,12,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,6,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,3,unassociated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,18,associated group
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,4,11,21,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,2,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,1,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,19,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,5,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,0,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,7,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,23,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,20,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,18,associated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,22,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,4,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,3,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,6,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,21,unassociated group
B952C176-5BF1-31DE-FFD7-39DA04F1C847,8192,10,8,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,12,17,associated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,5,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,4,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,23,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,17,associated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,20,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,3,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,22,unassociated group
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,128,11,18,associated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,3,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,0,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,10,19,associated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,10,3,associated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,18,associated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,10,23,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,10,5,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,2,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,20,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,19,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,10,18,associated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,5,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,4,unassociated group
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,8,11,23,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,6,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,8,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,10,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,9,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,18,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,4,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,13,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,14,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,11,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,7,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,15,unassociated group
CEF34686-227E-4E94-4593-39DA04F1D578,8192,10,17,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,11,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,10,associated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,8,associated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,4,associated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,15,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,18,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,8,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,13,unassociated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,7,associated group
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,8192,10,14,associated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,16,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,12,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,17,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,8,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,18,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,14,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,6,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,11,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,4,associated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,9,unassociated group
C1E08113-79FE-4E8D-A98B-39DA04F1D973,8192,10,7,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,2,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,5,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,7,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,3,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,3,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,7,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,8,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,0,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,22,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,23,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,18,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,17,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,2,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,16,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,3,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,18,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,22,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,1,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,19,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,6,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,18,associated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,10,23,unassociated group
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,8192,11,7,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,7,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,4,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,2,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,23,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,1,unassociated group
524E52C8-F48D-667D-156C-39DA04F1E9A1,8192,10,20,unassociated group
