eez_code,offset_list,count,observer_trips
PG,10,2068,4232
PG,11,782,4232
PG,"10,11",598,4232
PG,9,276,4232
PG,12,75,4232
PG,"10,12",74,4232
PG,"11,12",68,4232
PG,"9,10",63,4232
PG,"10,11,12",30,4232
PG,"9,10,11",24,4232
PG,"8,10",19,4232
PG,"-11,11",14,4232
PG,-11,13,4232
PG,"8,9",13,4232
PG,"-10,10",12,4232
PG,"-11,10,11",10,4232
PG,"-10,11",8,4232
PG,"-11,-10",7,4232
PG,"9,11",7,4232
PG,-10,6,4232
PG,"9,10,11,12",5,4232
PG,"7,10",4,4232
PG,"-11,10",4,4232
PG,"-11,11,12",4,4232
PG,"-11,12",3,4232
PG,"-12,10",3,4232
PG,"-10,10,11",3,4232
PG,"-10,10,12",3,4232
PG,"-11,-10,12",3,4232
PG,8,3,4232
PG,"9,12",3,4232
PG,"8,9,10",3,4232
PG,"7,10,11",2,4232
PG,"8,10,12",2,4232
PG,"2,10",2,4232
PG,"4,10",1,4232
PG,"8,10,11",1,4232
PG,"8,10,11,12",1,4232
PG,"6,8,10",1,4232
PG,"7,9",1,4232
PG,"0,10",1,4232
PG,"-13,10,11",1,4232
PG,-8,1,4232
PG,-9,1,4232
PG,"-10,11,12",1,4232
PG,"-1,9,10,11",1,4232
PG,"-11,9,11",1,4232
PG,"-11,9,11,12",1,4232
PG,-12,1,4232
PG,"-12,-10,10,11,12",1,4232
PG,"-11,3",1,4232
PG,"-11,10,11,12",1,4232
PG,"-11,10,12",1,4232
GL,12,2429,3398
GL,"11,12",406,3398
GL,11,239,3398
GL,"-11,12",67,3398
GL,"-12,12",61,3398
GL,-12,35,3398
GL,9,22,3398
GL,"-10,12",21,3398
GL,"10,12",19,3398
GL,-11,16,3398
GL,"10,11,12",13,3398
GL,"-12,11,12",8,3398
GL,10,7,3398
GL,"9,12",5,3398
GL,"8,12",5,3398
GL,"-11,11,12",5,3398
GL,"10,11",4,3398
GL,"-11,11",3,3398
GL,"-12,-11",3,3398
GL,"-12,0",2,3398
GL,8,2,3398
GL,"7,12",2,3398
GL,"9,11",2,3398
GL,"9,10,12",1,3398
GL,"9,10",1,3398
GL,"7,11",1,3398
GL,"8,11",1,3398
GL,"2,11",1,3398
GL,"2,12",1,3398
GL,"6,12",1,3398
GL,"0,12",1,3398
GL,"-9,12",1,3398
GL,"-8,12",1,3398
GL,"-12,-8,12",1,3398
GL,"-12,-9",1,3398
GL,"-12,10,12",1,3398
GL,"-12,11",1,3398
GL,"-11,10,12",1,3398
GL,"-11,7,12",1,3398
GL,"-11,8,11,12",1,3398
GL,"-10,7,10,12",1,3398
GL,"-11,-10,12",1,3398
GL,"-10,11,12",1,3398
GL,"-10,11",1,3398
GL,"-1,12",1,3398
FM,11,906,2858
FM,9,585,2858
FM,10,546,2858
FM,"10,11",357,2858
FM,12,100,2858
FM,"11,12",91,2858
FM,"9,10",52,2858
FM,"10,11,12",30,2858
FM,"-11,11",24,2858
FM,-11,23,2858
FM,"9,10,11",18,2858
FM,"10,12",15,2858
FM,"8,9",14,2858
FM,"9,11",11,2858
FM,"-11,11,12",10,2858
FM,"-11,10,11",7,2858
FM,8,7,2858
FM,-10,5,2858
FM,"-10,10,11",4,2858
FM,"-11,-10",4,2858
FM,"7,9",4,2858
FM,"9,12",4,2858
FM,"9,10,11,12",3,2858
FM,"8,10",3,2858
FM,"8,10,11",3,2858
FM,"-11,10",3,2858
FM,"-11,12",2,2858
FM,-12,2,2858
FM,"-11,-10,12",2,2858
FM,"-10,10",2,2858
FM,"1,11",2,2858
FM,"-9,1",1,2858
FM,-8,1,2858
FM,"-12,12",1,2858
FM,"-13,10,11",1,2858
FM,"2,10,11",1,2858
FM,"8,9,10",1,2858
FM,"9,10,12",1,2858
FM,"9,11,12",1,2858
FM,"-10,10,12",1,2858
FM,"-10,11,12",1,2858
FM,"-1,10,11",1,2858
FM,"-11,-10,11",1,2858
FM,"-10,9,10",1,2858
FM,"-10,9,11",1,2858
FM,"-11,9,11,12",1,2858
FM,"-11,6,11",1,2858
FM,"-11,9,10",1,2858
FM,"-12,-11,-8",1,2858
FM,"-11,10,11,12",1,2858
NR,12,834,2050
NR,11,729,2050
NR,"11,12",290,2050
NR,"10,11",36,2050
NR,9,20,2050
NR,-11,17,2050
NR,"-11,11",13,2050
NR,"-11,11,12",13,2050
NR,10,13,2050
NR,"10,11,12",12,2050
NR,"10,12",12,2050
NR,-12,11,2050
NR,"-11,12",10,2050
NR,"-12,12",10,2050
NR,"-10,11",4,2050
NR,"-10,12",3,2050
NR,"-12,11",3,2050
NR,"9,11,12",3,2050
NR,"9,11",2,2050
NR,"9,12",2,2050
NR,8,2,2050
NR,"-13,11",2,2050
NR,"7,11",1,2050
NR,"9,10,11",1,2050
NR,"9,10",1,2050
NR,"-12,11,12",1,2050
NR,"-12,-11,11,12",1,2050
NR,"-12,-11",1,2050
NR,"-10,11,12",1,2050
NR,"-10,10,12",1,2050
NR,-10,1,2050
SB,11,1053,1706
SB,12,165,1706
SB,"11,12",135,1706
SB,"10,11",118,1706
SB,10,97,1706
SB,9,32,1706
SB,"-11,11",23,1706
SB,-11,18,1706
SB,"9,11",8,1706
SB,"10,11,12",8,1706
SB,"-10,11",7,1706
SB,"-12,11",5,1706
SB,-12,4,1706
SB,"-11,12",4,1706
SB,"9,10,11",4,1706
SB,"9,10",3,1706
SB,-10,3,1706
SB,"-1,11",3,1706
SB,"-10,12",2,1706
