vessel_flag,offset_list,count,observer_trips
PG,10,1388,2395
PG,"10,11",264,2395
PG,12,91,2395
PG,"10,11,12",86,2395
PG,11,79,2395
PG,9,78,2395
PG,"11,12",74,2395
PG,"10,12",66,2395
PG,"9,10",51,2395
PG,"-11,12",26,2395
PG,-11,22,2395
PG,"9,10,11",17,2395
PG,"8,10",13,2395
PG,"-11,-10",12,2395
PG,"-11,11,12",12,2395
PG,"-10,10",9,2395
PG,-10,8,2395
PG,"-11,11",7,2395
PG,"9,10,11,12",6,2395
PG,"-11,10,11",5,2395
PG,"-11,10,11,12",4,2395
PG,"-10,10,11,12",4,2395
PG,"8,9,10",4,2395
PG,"8,10,11",3,2395
PG,"8,10,11,12",3,2395
PG,"7,10",3,2395
PG,8,3,2395
PG,"-12,12",3,2395
PG,"-10,10,11",3,2395
PG,-12,3,2395
PG,"9,11",3,2395
PG,"9,11,12",2,2395
PG,"-11,10,12",2,2395
PG,"-11,-10,11,12",2,2395
PG,"-11,-10,12",2,2395
PG,"-11,-10,-9",2,2395
PG,"-10,12",2,2395
PG,"-12,11,12",2,2395
PG,"-12,10",2,2395
PG,"2,10",2,2395
PG,"8,10,12",2,2395
PG,"8,9",2,2395
PG,"9,10,12",1,2395
PG,"2,10,11",1,2395
PG,"7,10,11",1,2395
PG,"4,7,10,11",1,2395
PG,"-12,-11,12",1,2395
PG,"-12,10,11",1,2395
PG,"-12,-6,11,12",1,2395
PG,"-12,-7",1,2395
PG,"-12,-11,11",1,2395
PG,"-12,-11,11,12",1,2395
PG,"-12,11",1,2395
PG,"-13,10,11,12",1,2395
PG,"-9,1",1,2395
PG,"0,10",1,2395
PG,-7,1,2395
PG,"-10,8,10",1,2395
PG,"-11,-10,-9,-8",1,2395
PG,"-11,-10,10,11,12",1,2395
PG,"-10,-9",1,2395
PG,"-11,10",1,2395
PG,"-12,-11",1,2395
PG,"-11,6,11",1,2395
PG,"9,12",1,2395
KI,12,512,1273
KI,"11,12",152,1273
KI,"-11,12",139,1273
KI,"10,11",52,1273
KI,"-11,-10",48,1273
KI,-11,42,1273
KI,"10,11,12",34,1273
KI,11,34,1273
KI,"-11,11,12",30,1273
KI,10,28,1273
KI,"-12,12",26,1273
KI,-10,25,1273
KI,"-11,-10,12",23,1273
KI,"-10,12",15,1273
KI,"10,12",15,1273
KI,"-12,-11,12",7,1273
KI,"9,10",6,1273
KI,"-11,11",6,1273
KI,"-11,10,11,12",5,1273
KI,"9,10,11",5,1273
KI,"9,10,11,12",5,1273
KI,"-12,11,12",5,1273
KI,"9,12",4,1273
KI,"-11,-10,11,12",3,1273
KI,"-11,-10,11",3,1273
KI,-12,3,1273
KI,"-10,11,12",3,1273
KI,"-10,10,11",2,1273
KI,"-11,-10,10,11,12",2,1273
KI,"-11,8,11,12",2,1273
KI,"-12,-11",2,1273
KI,"-11,10,12",2,1273
KI,"-11,10",2,1273
KI,"-9,12",2,1273
KI,"8,12",2,1273
KI,8,1,1273
KI,"8,10,11,12",1,1273
KI,"8,10",1,1273
KI,"8,9,10",1,1273
KI,"2,12",1,1273
KI,"6,12",1,1273
KI,"7,12",1,1273
KI,"7,8,12",1,1273
KI,"-13,10,11",1,1273
KI,"-12,10,11,12",1,1273
KI,"-12,-8,12",1,1273
KI,"-12,10,11",1,1273
KI,"-12,-11,-10,12",1,1273
KI,"-11,1",1,1273
KI,"-11,1,12",1,1273
KI,"-11,10,11",1,1273
KI,"-11,-10,7,10,11,12",1,1273
KI,"-11,8,12",1,1273
KI,"-11,9,12",1,1273
KI,"-11,-10,1,12",1,1273
KI,"-10,9,12",1,1273
KI,"-10,10,11,12",1,1273
KI,"-10,10",1,1273
KI,"-10,11",1,1273
KI,"-1,12",1,1273
KI,"9,10,12",1,1273
KI,"9,11,12",1,1273
FM,11,191,1018
FM,12,146,1018
FM,"11,12",138,1018
FM,"10,11",107,1018
FM,9,90,1018
FM,"-11,12",63,1018
FM,"-11,11,12",47,1018
FM,"10,11,12",37,1018
FM,10,34,1018
FM,-11,27,1018
FM,"-11,11",20,1018
FM,"9,10",12,1018
FM,"-11,-10,12",11,1018
FM,"-11,-10",10,1018
FM,-10,8,1018
FM,"-11,-10,11,12",7,1018
FM,"9,10,11",7,1018
FM,"-11,10,11",6,1018
FM,"-11,10,11,12",5,1018
FM,"8,9",4,1018
FM,"10,12",4,1018
FM,"9,12",4,1018
FM,"-12,11,12",3,1018
FM,"-12,12",3,1018
FM,"9,11",3,1018
FM,"-10,11,12",3,1018
FM,"-10,10,11,12",2,1018
FM,"-11,-10,1",2,1018
FM,"9,10,11,12",2,1018
FM,"-12,10,11,12",2,1018
FM,"-12,10,11",1,1018
FM,"-12,11",1,1018
FM,"0,12",1,1018
FM,"-13,10,11",1,1018
FM,"9,10,12",1,1018
FM,"8,11",1,1018
FM,"8,10",1,1018
FM,"7,9,10,11,12",1,1018
