log_trip_id,vessel_flag,primary_eez_code,departure_month,modal_offset
40DFCD4F-1A0D-C09B-4762-39DA04F1AD97,KI,GL,1,12
CCBCBDB3-118C-AEF2-4AD3-39DA04F1B88A,PG,PG,1,10
9FCBE677-63D6-8E1D-743F-39DA04F1BC29,PG,PG,1,10
2D1A34D8-7E50-2B4D-1178-39DA04F1BEF2,FM,MH,1,11
B952C176-5BF1-31DE-FFD7-39DA04F1C847,KI,PG,1,10
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,NR,FM,1,12
669B641F-F0DF-5FAA-CFC7-39DA04F1CDC7,NR,GL,1,12
76111D1B-0F19-53E1-5A5F-39DA04F1D27B,NR,FM,1,11
CEF34686-227E-4E94-4593-39DA04F1D578,PG,PG,1,10
F1438DB6-AFF1-280F-9256-39DA04F1D8DE,PG,PG,1,10
C1E08113-79FE-4E8D-A98B-39DA04F1D973,PG,PG,1,10
CA6B9BB3-2A02-0450-2D83-39DA04F1E121,TW,PG,1,10
524E52C8-F48D-667D-156C-39DA04F1E9A1,PG,PG,1,10
4F7360CE-D96C-6CBB-9BB9-39DA04F1E9EB,PG,PG,1,10
F59FF418-5CB4-E02D-FD68-39DA04F1EC3A,FM,PG,1,10
4CB0A95A-F001-DE29-8776-39DA04F1ECBF,NR,FM,1,11
EB4EB404-0ED0-9ED5-1C4A-39DA04F1F633,PG,PG,1,10
4EEF1E91-0C28-2FC0-3D50-39DA04F1FC6A,TW,FM,1,11
E73A008C-BAB8-88E9-34A0-39DA04F20248,PG,PG,1,10
5493604F-40F5-637D-68E6-39DA04F208C0,NR,NR,1,11
9C3D2C7F-9DFB-67FB-1556-39DA04F20AEF,PG,PG,5,10
FBCC0195-FF2A-B867-F982-39DA04F2108A,PG,PG,1,10
EE494214-8114-264A-A88A-39DA04F21A54,NR,MH,2,12
CC4E7C78-E663-49FA-A130-39DA04F22C15,FM,FM,2,11
37EC43CA-D7F3-49EC-E517-39DA04F2366C,PG,PG,2,10
AB9F062D-80E3-418C-090F-39DA04F23841,NR,FM,1,11
9EF1BB35-700C-C6DE-089C-39DA04F238CC,NR,FM,2,11
E2B5DC34-8D56-D90E-A502-39DA04F23D26,PG,PG,2,10
261235BA-76CE-DBF4-9836-39DA04F240B2,KI,FM,2,10
F407D4F0-16E8-A818-7D3D-39DA04F24149,PG,PG,1,10
C7A6A33D-4DB9-E3FD-0BB6-39DA04F242B5,FM,PG,2,11
9E3FB6C8-98DF-961F-3521-39DA04F247A5,PG,PG,2,10
7EF93DBB-7BB5-EF37-7A3B-39DA04F2482E,SB,SB,2,-12
884A7498-1E23-FC3C-8301-39DA04F2498C,PG,PG,2,10
0FEF2F23-835D-4ED0-856A-39DA04F24A4E,PG,PG,1,10
08D8C733-92C0-4A1E-74B3-39DA04F24B29,PG,PG,3,10
4962A14F-F4F2-D715-740B-39DA04F24C44,PG,PG,2,10
5A1F2B4C-3F7A-AA25-86FF-39DA04F24E0F,PG,PG,2,10
4BBA7600-0D92-846F-746A-39DA04F250AD,PG,PG,2,10
9B9F6AA7-8DF0-6276-F0BB-39DA04F251F4,MH,PG,2,11
783BCCF6-302E-6134-13C5-39DA04F2550E,PG,PG,2,10
318C82B0-E516-16FD-8511-39DA04F256DF,PG,PG,2,10
6CBC17A0-B824-7FEA-C48E-39DA04F26E95,NR,PG,2,10
6CBC17A0-B824-7FEA-C48E-39DA04F26E95,NR,PG,2,11
027B13F1-844F-5285-9B9E-39DA04F26FF5,PG,PG,2,10
F091A6D3-3A8A-8228-BA08-39DA04F27755,PG,PG,2,10
D323D57D-0569-E90D-022D-39DA04F27A4F,PG,PG,2,10
BCF058D7-9768-2F07-E4B1-39DA04F28B02,PG,PG,2,10
C7709B58-9594-B2B7-A50A-39DA04F290EF,FM,PG,3,10
0570D5E9-C4AC-D11B-BBED-39DA04F29343,KI,GL,3,12
BC85E870-BE13-58B9-DA94-39DA04F2947B,TW,PG,3,10
38762A8A-2102-AF25-5B44-39DA04F29A6B,KI,MH,2,11
38762A8A-2102-AF25-5B44-39DA04F29A6B,KI,NR,2,11
A5C448C8-FF18-ED4A-8E9F-39DA04F29B1A,KI,FM,3,11
CD5953F1-CE59-7602-938D-39DA04F2A306,NR,FM,3,12
278630DD-6DC9-2BDC-6D2E-39DA04F2A36E,SB,SB,3,11
388449EF-6FE2-C32F-95EB-39DA04F2A6E3,PG,SB,3,11
0A85B800-C0E5-272A-F350-39DA04F2A72C,FM,FM,1,12
B8B37AED-4C54-16FB-D1D5-39DA04F2A8BE,SB,PG,1,11
CFDE18EB-EBFE-9437-4883-39DA04F2AE5E,KI,FM,2,11
FF70E39D-44FA-F444-8B2B-39DA04F2B03B,SB,PG,1,10
00B6A1AA-9DEF-98CB-F9FE-39DA04F2B6DE,PG,PG,3,10
8BFD50E1-3BB0-19E0-74DC-39DA04F2C871,PG,PG,3,10
0F03CAD1-EF80-A664-CA78-39DA04F2CA11,PG,PG,2,10
3DC37DDC-8E1F-7FD4-1E7E-39DA04F2CA61,PG,PG,3,10
1B1348BF-0604-E927-FA56-39DA04F2CAC9,PG,PG,3,10
05F1FDF7-64B2-D946-D4C3-39DA04F2CC02,KI,GL,3,12
05F1FDF7-64B2-D946-D4C3-39DA04F2CC02,KI,NR,3,12
F370B14E-D550-99E9-66B8-39DA04F2CF85,PG,PG,2,10
0E782C76-2087-FD8F-4D69-39DA04F2D1FF,PG,PG,3,10
A4D15186-E814-811C-DF79-39DA04F2E042,PG,PG,3,10
95F4E6C6-0594-B051-9CA3-39DA04F2E3DA,NR,FM,3,10
D958735F-9B9E-6959-A32F-39DA04F2EAA8,PH,PG,2,10
61C69227-0799-D17F-5D75-39DA04F2ED2E,PG,PG,2,10
A4979306-EB59-F239-2C9B-39DA04F2EDD2,PG,PG,3,10
1E268261-7769-995D-1FB4-39DA04F2F2BB,PG,PG,3,10
19FE008E-FDCE-5AF1-7801-39DA04F2F5C7,KI,PG,3,10
D494E2EC-F230-27BB-8D36-39DA04F2FF65,PG,NR,3,10
675C94ED-F1C3-4E7E-0328-39DA04F307FD,NR,PG,4,10
DEBB0E1D-C67A-7BA6-AE99-39DA04F30C4F,PG,PG,1,10
9F75A02F-E6AA-2073-6D63-39DA04F30CB7,PG,PG,2,10
D3F56F46-ED80-687E-9793-39DA04F31B96,FM,PG,4,10
A227C766-0337-9D42-A5D7-39DA04F3200E,NR,SB,4,11
65AD254A-EB97-4377-2EA1-39DA04F32DEB,KR,PG,4,10
8BB88D47-F54A-1B62-9945-39DA04F334EC,PH,PG,4,10
D33C5E54-978E-25DF-32EA-39DA04F33971,PG,PG,5,10
7481AB8B-8B38-1969-1502-39DA04F33EB6,TW,GL,4,12
02820E07-4E02-E363-30E8-39DA04F346AA,PG,PG,4,10
A9D9D0DC-E3CA-E0A4-4602-39DA04F347C7,NR,SB,4,11
97A5D074-53DD-94B9-C99A-39DA04F34AAC,PG,PG,4,10
598F9101-7EC3-EA4F-35EB-39DA04F34F03,PG,PG,4,10
94A99DF0-35DA-02D2-47EA-39DA04F34F44,NR,MH,4,12
94A99DF0-35DA-02D2-47EA-39DA04F34F44,NR,SB,4,12
DD045EEB-715D-5AD0-A708-39DA04F34F8A,KI,GL,4,12
B01970D5-692B-59B3-3019-39DA04F35017,FM,FM,3,10
E419DAE3-807E-D8A0-CF3C-39DA04F350E8,FM,FM,4,11
12343641-C407-88C2-6A15-39DA04F351DF,PG,PG,4,10
CEE3003A-59F2-0203-49A6-39DA04F35407,NR,MH,4,12
8E82ED1E-AE43-FA85-A5E0-39DA04F35670,PG,PG,4,10
23DB10C3-9E81-3A25-0BFD-39DA04F35BA0,PG,PG,3,10
EB9388C1-38B1-8B00-C8C7-39DA04F35C1C,PG,SB,4,11
54FB538C-3335-630F-B02D-39DA04F35F10,FM,FM,4,11
F7B8B209-5AB6-9630-F26B-39DA04F35F80,PG,PG,4,10
F2E64756-81FF-9030-7955-39DA04F36A1F,PG,PG,4,10
6EE37268-C784-120E-F4F0-39DA04F36B41,KI,GL,3,12
8A2AD2CE-7C90-239C-771F-39DA04F373B1,PG,FM,5,11
B2560185-4924-0607-241F-39DA04F3748C,FM,FM,5,10
4284BBB0-4CC3-4785-78CB-39DA04F37C51,PG,PG,5,10
65A599DF-AD76-9686-96FD-39DA04F38D53,TW,GL,5,12
6DA36A12-B381-5DFE-631C-39DA04F38E21,SB,FM,4,11
6DA36A12-B381-5DFE-631C-39DA04F38E21,SB,FM,4,12
6DA36A12-B381-5DFE-631C-39DA04F38E21,SB,PG,4,11
6DA36A12-B381-5DFE-631C-39DA04F38E21,SB,PG,4,12
F2D7E181-65AB-C640-3E8C-39DA04F39582,CN,GL,5,12
084F674C-856A-8EFB-7FEE-39DA04F39E40,KR,PG,5,11
51972D9C-94A2-4CC8-B174-39DA04F3A020,NR,MH,5,12
CB4AC60B-19AD-E474-100E-39DA04F3A2A3,PG,PG,5,10
ED0CA024-2A82-B2DC-19A1-39DA04F3B093,PG,PG,5,10
D4C55132-E6C2-C422-D9FA-39DA04F3B4FE,PG,PG,5,10
882C24E7-A19B-CF1D-BAE1-39DA04F3B796,MH,I4,5,12
6925F218-C58D-6533-2CCD-39DA04F3BE09,KI,GL,4,12
D861D3CE-9194-67DE-9366-39DA04F3C346,KI,PG,5,9
CCE9CF3E-0BDE-B326-AC15-39DA04F3D8FC,PH,PG,5,10
AE13DA2C-73C0-E6BD-DB58-39DA04F3E57E,PG,PG,5,10
326FB660-EBA0-C775-AEC4-39DA04F3E6C8,MH,I4,5,12
9E6C02A9-5D2D-E46F-F847-39DA04F3ED0B,PG,PG,5,10
0E7B4E9A-6E31-8DEE-D972-39DA04F3ED6C,PG,FM,5,10
0BC030E3-1683-0DA0-6C93-39DA04F3FBE2,FM,FM,5,11
6106B856-51DF-13AA-14E8-39DA04F40068,KI,GL,6,11
B7197C6C-E049-2199-BB9B-39DA04F40110,KI,FM,5,11
39001EC9-BD6E-4A35-5DC3-39DA04F4033C,PG,PG,5,10
11BDBB21-B189-5D34-C451-39DA04F40376,PG,PG,6,10
B3C33FA0-CC50-3264-6DA4-39DA04F404F5,PG,PG,6,10
C5C6C3CD-D427-61AF-3019-39DA04F40889,PG,PG,6,10
8AFEB4E7-08D0-2E58-14A1-39DA04F41461,PG,PG,6,11
D7CC2051-57AD-B6A0-3948-39DA04F41A4A,PG,PG,6,10
990D9740-4660-6B4F-19BC-39DA04F42293,PG,PG,10,10
4F82BF1D-86E8-EA21-AE9B-39DA04F425DD,KI,PG,10,10
060C9BA6-A5D8-F123-B274-39DA04F437BE,PG,PG,10,10
C12B8C8F-D774-8BF9-57E1-39DA04F487AB,KR,GL,7,12
1B1572D9-241F-8063-779D-39DA04F48806,KR,GL,8,-12
51F72A00-A4CE-6FE9-22F4-39DA04F59D92,PH,PG,1,10
BA67ABE5-4B0F-61E8-BECC-39DA04F5A4D7,FM,SB,1,11
0781059F-9E1A-0E39-C244-39DA04F5BB2E,PG,PG,12,10
D5F60C1D-E4E5-6CF5-285D-39DA04F5BDE1,PG,PG,1,10
933C88CC-D3AB-FBD5-24D6-39DA04F5C0B2,SB,SB,3,11
C97CC3AF-1E7A-5C71-0A85-39DA04F5C3EB,PG,PG,1,10
2116F9CF-6814-832D-451B-39DA04F5C532,PH,FM,1,10
DCF69857-5AF0-5008-65C5-39DA04F5C61D,PG,PG,1,10
D53E153E-8103-0496-4290-39DA04F5CEED,PG,PG,1,10
E95A49FD-4419-EBA8-F0DD-39DA04F5E6F6,KI,PG,2,10
3783E645-C043-9DE1-6C32-39DA04F5EFA1,PG,PG,2,10
B218432C-8FE8-FE00-ED9F-39DA04F5F1FC,PH,PG,1,10
B3692835-72DF-BA50-08D3-39DA04F5F3BF,PG,PG,2,10
E37EC721-0F6B-C186-A06F-39DA04F5F48E,KI,GL,2,12
51591845-D2A2-A9D1-30DD-39DA04F5F91A,PG,PG,1,10
C14C1FD2-7F7A-5D4D-57CD-39DA04F60708,PG,PG,2,10
2154E6F0-EF65-283F-6BF4-39DA04F608DA,KR,PG,2,10
354CA79F-649D-8DDD-1C8F-39DA04F60BA4,PG,PG,2,10
1151BE99-7EFA-027E-478F-39DA04F612AB,PH,PG,2,10
17C21FA3-CF9B-FA76-2B59-39DA04F61B7E,PG,PG,2,10
AE3983B6-67A3-05DD-69D7-39DA04F61C51,FM,GL,2,11
5F9EB879-7B88-6181-EE42-39DA04F62B89,MH,NR,2,12
4B7ACF80-CC7C-ED70-92FD-39DA04F62C31,FM,NR,3,11
25E97924-55DE-B13E-E45F-39DA04F62F4E,FM,MH,2,11
E30E99E2-B2D4-FA6B-815A-39DA04F63484,PG,PG,3,10
10F13C4E-8F97-3C62-48E9-39DA04F65145,PG,PG,3,10
DE7DEFF3-114D-AE40-A908-39DA04F655B8,PG,PG,3,10
27852F32-D49E-36C4-8F64-39DA04F6565F,FM,NR,3,11
EF5C9825-D99B-5D19-E12A-39DA04F656A2,PG,PG,2,10
D8DC9B8A-A770-FD01-F867-39DA04F663F3,PG,PG,3,10
F38C69FD-8D86-8830-7F07-39DA04F67254,KI,PG,3,10
7EE41A47-2CB6-C162-482A-39DA04F67453,PG,PG,3,10
6A51F641-EB35-47A9-B9B9-39DA04F675FE,FM,NR,3,11
D05B5D91-BE27-B8EE-474D-39DA04F67640,PG,PG,3,10
14637552-5653-C20E-E886-39DA04F67C47,PG,PG,3,10
7F4C98C3-F1CC-8F6F-F84C-39DA04F685B9,KI,PG,3,10
C109D214-79AD-43C5-2D55-39DA04F6A058,MH,I4,4,12
974A6418-4D7C-1505-6085-39DA04F6A194,PG,PG,4,10
45C383E0-5445-F9A5-99CB-39DA04F6A44C,PG,PG,3,10
6B7D6A0C-D607-895A-14A1-39DA04F6A9AB,PG,PG,3,10
68AA052A-DC03-803B-ACBB-39DA04F6B5FF,SB,SB,4,11
98C3D3D1-5C7B-AE36-0D17-39DA04F6BCFE,FM,PG,4,11
3962BC69-A203-3BF7-D0D4-39DA04F6C314,PG,PG,4,10
E6F2E5AD-BC97-2449-1328-39DA04F6C58C,FM,PG,4,10
D8A562F2-B3C4-EB56-20C4-39DA04F6DFD5,MH,SB,4,11
5DE654E6-4033-8B35-68F8-39DA04F6E06E,PG,PG,3,10
EC39E283-5BB8-264A-406B-39DA04F6E0F6,PG,PG,4,10
77598590-F29F-17AB-37DF-39DA04F6E25E,PG,PG,4,10
A0E505CC-7DBD-33B7-ED88-39DA04F6E691,MH,I4,4,12
2FA43F31-9A86-3168-660F-39DA04F6EBB3,PG,PG,4,10
495B31DC-674C-3B52-F2C9-39DA04F6F292,MH,I4,5,12
2F8E9557-D2F3-BD4A-EAB3-39DA04F6F786,FM,FM,5,11
2F8E9557-D2F3-BD4A-EAB3-39DA04F6F786,FM,PG,5,11
D32D0C1D-8ECE-8784-9E8E-39DA04F6F9C1,KI,PG,4,10
1285DDD2-A0AF-D822-62CE-39DA04F70613,FM,FM,5,11
3E5F011B-D5D7-D1D4-F9A2-39DA04F70AD0,PG,PG,5,10
EFFA607F-A84E-14AB-1BBF-39DA04F70AFA,PG,PG,5,10
F3EA8AB9-3BE1-A5C5-AFC9-39DA04F7123D,PG,PG,4,10
CFEA65F4-8DEA-9EBE-98FC-39DA04F713DC,PG,FM,5,10
F2FAC60A-4F52-9339-8F9A-39DA04F7159E,SB,GL,4,11
2CFFF402-6592-EC36-95BA-39DA04F7227D,PG,PG,5,10
316C7A29-E9CC-4DFA-7559-39DA04F7258A,PG,PG,5,10
D29676ED-E11D-E240-44B4-39DA04F72D59,MH,GL,5,12
DDF9E480-11BC-AC08-CF97-39DA04F7307F,PG,PG,5,10
DE329687-D741-66E3-1BC8-39DA04F7566F,PG,FM,5,10
DE329687-D741-66E3-1BC8-39DA04F7566F,PG,PG,5,10
D083C5FE-0B3E-C616-7E37-39DA04F75B0D,PG,FM,5,10
1E99D469-485C-9017-50F5-39DA04F75BF5,PG,PG,5,10
70820996-D694-854C-1967-39DA04F75EE3,PH,PG,5,10
FD513D22-0B05-4488-CF88-39DA04F76274,MH,FM,5,12
90E5D618-3140-A364-40AB-39DA04F767BB,PG,PG,6,10
AB6C980B-8121-BD28-B372-39DA04F76935,FM,NR,5,11
D2EEE510-FAF5-F657-7C1D-39DA04F76E6E,KR,FM,6,11
50B61FD7-4150-7C50-3538-39DA04F77059,PG,PG,6,10
8944EEAF-CDB4-0C99-4EF7-39DA04F772E8,PG,FM,6,10
B7F69EE5-FBE5-A9E6-F24D-39DA04F779E7,PG,PG,5,10
EA6C0BF2-C774-2C4B-3508-39DA04F78151,PG,FM,5,10
218E97EC-1291-1993-4FC7-39DA04F7868F,PG,FM,6,10
A061A337-0E36-B5E0-8C85-39DA04F78F27,PG,PG,6,10
3E31FC0F-3900-3F0E-8181-39DA04F79110,PH,PG,6,10
477B92DF-AB31-0633-68BE-39DA04F7953A,PG,PG,6,10
01B9E07B-18E0-C21E-BEC1-39DA04F799BC,KI,NR,6,11
2631B97F-56CA-FFB8-D08F-39DA04F7AA0F,FM,FM,6,11
863FF4C6-8510-9425-DD20-39DA04F7AB85,PG,PG,6,10
5AC2E2BC-95AB-3890-981F-39DA04F7ACD2,PG,PG,6,10
