type,hour,count,pct
LonglineLogsheet,0,4279,0.47
LonglineLogsheet,1,8886,0.98
LonglineLogsheet,2,12917,1.43
LonglineLogsheet,3,45536,5.03
LonglineLogsheet,4,106655,11.79
LonglineLogsheet,5,298143,32.94
LonglineLogsheet,6,219687,24.27
LonglineLogsheet,7,71628,7.91
LonglineLogsheet,8,27452,3.03
LonglineLogsheet,9,9536,1.05
LonglineLogsheet,10,4742,0.52
LonglineLogsheet,11,3449,0.38
LonglineLogsheet,12,5526,0.61
LonglineLogsheet,13,3294,0.36
LonglineLogsheet,14,3715,0.41
LonglineLogsheet,15,5186,0.57
LonglineLogsheet,16,6094,0.67
LonglineLogsheet,17,11038,1.22
LonglineLogsheet,18,16499,1.82
LonglineLogsheet,19,11766,1.3
LonglineLogsheet,20,9070,1
LonglineLogsheet,21,13085,1.45
LonglineLogsheet,22,4716,0.52
LonglineLogsheet,23,2097,0.23
PurseseineLogsheet,0,21686,4.8
PurseseineLogsheet,1,20320,4.49
PurseseineLogsheet,2,20108,4.45
PurseseineLogsheet,3,20705,4.58
PurseseineLogsheet,4,26842,5.94
PurseseineLogsheet,5,31845,7.04
PurseseineLogsheet,6,21113,4.67
PurseseineLogsheet,7,12277,2.71
PurseseineLogsheet,8,4787,1.06
PurseseineLogsheet,9,3396,0.75
PurseseineLogsheet,10,3592,0.79
PurseseineLogsheet,11,3701,0.82
PurseseineLogsheet,12,3652,0.81
PurseseineLogsheet,13,4289,0.95
PurseseineLogsheet,14,5522,1.22
PurseseineLogsheet,15,13534,2.99
PurseseineLogsheet,16,27412,6.06
PurseseineLogsheet,17,56604,12.52
PurseseineLogsheet,18,46989,10.39
PurseseineLogsheet,19,24709,5.46
PurseseineLogsheet,20,19152,4.23
PurseseineLogsheet,21,19928,4.41
PurseseineLogsheet,22,20314,4.49
PurseseineLogsheet,23,19774,4.37
