type,hour,count,pct
LonglineLogsheet,0,4282,0.47
LonglineLogsheet,1,8897,0.98
LonglineLogsheet,2,12978,1.43
LonglineLogsheet,3,45632,5.03
LonglineLogsheet,4,106848,11.77
LonglineLogsheet,5,299113,32.95
LonglineLogsheet,6,220429,24.28
LonglineLogsheet,7,71883,7.92
LonglineLogsheet,8,27551,3.03
LonglineLogsheet,9,9584,1.06
LonglineLogsheet,10,4768,0.53
LonglineLogsheet,11,3474,0.38
LonglineLogsheet,12,5533,0.61
LonglineLogsheet,13,3296,0.36
LonglineLogsheet,14,3718,0.41
LonglineLogsheet,15,5223,0.58
LonglineLogsheet,16,6141,0.68
LonglineLogsheet,17,11068,1.22
LonglineLogsheet,18,16612,1.83
LonglineLogsheet,19,11804,1.3
LonglineLogsheet,20,9079,1
LonglineLogsheet,21,13086,1.44
LonglineLogsheet,22,4718,0.52
LonglineLogsheet,23,2097,0.23
PurseseineLogsheet,0,21810,4.8
PurseseineLogsheet,1,20428,4.49
PurseseineLogsheet,2,20221,4.45
PurseseineLogsheet,3,20838,4.58
PurseseineLogsheet,4,27000,5.94
PurseseineLogsheet,5,32036,7.05
PurseseineLogsheet,6,21196,4.66
PurseseineLogsheet,7,12299,2.71
PurseseineLogsheet,8,4800,1.06
PurseseineLogsheet,9,3420,0.75
PurseseineLogsheet,10,3606,0.79
PurseseineLogsheet,11,3711,0.82
PurseseineLogsheet,12,3667,0.81
PurseseineLogsheet,13,4315,0.95
PurseseineLogsheet,14,5574,1.23
PurseseineLogsheet,15,13589,2.99
PurseseineLogsheet,16,27470,6.04
PurseseineLogsheet,17,56984,12.53
PurseseineLogsheet,18,47347,10.41
PurseseineLogsheet,19,24793,5.45
PurseseineLogsheet,20,19245,4.23
PurseseineLogsheet,21,20025,4.4
PurseseineLogsheet,22,20419,4.49
PurseseineLogsheet,23,19882,4.37
