type,school_type,hour,count,pct
LonglineLogsheet,,0,4285,0.47
LonglineLogsheet,,1,8867,0.97
LonglineLogsheet,,2,13064,1.44
LonglineLogsheet,,3,45752,5.03
LonglineLogsheet,,4,106989,11.76
LonglineLogsheet,,5,299893,32.95
LonglineLogsheet,,6,221003,24.29
LonglineLogsheet,,7,72059,7.92
LonglineLogsheet,,8,27602,3.03
LonglineLogsheet,,9,9604,1.06
LonglineLogsheet,,10,4788,0.53
LonglineLogsheet,,11,3471,0.38
LonglineLogsheet,,12,5538,0.61
LonglineLogsheet,,13,3296,0.36
LonglineLogsheet,,14,3721,0.41
LonglineLogsheet,,15,5251,0.58
LonglineLogsheet,,16,6181,0.68
LonglineLogsheet,,17,11157,1.23
LonglineLogsheet,,18,16680,1.83
LonglineLogsheet,,19,11835,1.3
LonglineLogsheet,,20,9081,1
LonglineLogsheet,,21,13086,1.44
LonglineLogsheet,,22,4718,0.52
LonglineLogsheet,,23,2105,0.23
