type,hour,count,pct
LonglineLogsheet,0,4281,0.47
LonglineLogsheet,1,8893,0.98
LonglineLogsheet,2,12943,1.43
LonglineLogsheet,3,45557,5.03
LonglineLogsheet,4,106684,11.77
LonglineLogsheet,5,298648,32.96
LonglineLogsheet,6,219992,24.28
LonglineLogsheet,7,71709,7.91
LonglineLogsheet,8,27476,3.03
LonglineLogsheet,9,9546,1.05
LonglineLogsheet,10,4753,0.52
LonglineLogsheet,11,3466,0.38
LonglineLogsheet,12,5526,0.61
LonglineLogsheet,13,3294,0.36
LonglineLogsheet,14,3717,0.41
LonglineLogsheet,15,5193,0.57
LonglineLogsheet,16,6129,0.68
LonglineLogsheet,17,11054,1.22
LonglineLogsheet,18,16576,1.83
LonglineLogsheet,19,11794,1.3
LonglineLogsheet,20,9073,1
LonglineLogsheet,21,13087,1.44
LonglineLogsheet,22,4716,0.52
LonglineLogsheet,23,2097,0.23
PurseseineLogsheet,0,21745,4.8
PurseseineLogsheet,1,20373,4.5
PurseseineLogsheet,2,20150,4.45
PurseseineLogsheet,3,20763,4.58
PurseseineLogsheet,4,26903,5.94
PurseseineLogsheet,5,31900,7.04
PurseseineLogsheet,6,21145,4.67
PurseseineLogsheet,7,12281,2.71
PurseseineLogsheet,8,4792,1.06
PurseseineLogsheet,9,3399,0.75
PurseseineLogsheet,10,3592,0.79
PurseseineLogsheet,11,3703,0.82
PurseseineLogsheet,12,3652,0.81
PurseseineLogsheet,13,4290,0.95
PurseseineLogsheet,14,5551,1.22
PurseseineLogsheet,15,13562,2.99
PurseseineLogsheet,16,27427,6.05
PurseseineLogsheet,17,56765,12.52
PurseseineLogsheet,18,47136,10.4
PurseseineLogsheet,19,24742,5.46
PurseseineLogsheet,20,19197,4.24
PurseseineLogsheet,21,19964,4.4
PurseseineLogsheet,22,20362,4.49
PurseseineLogsheet,23,19830,4.38
