type,hour,count,pct
LonglineLogsheet,0,9319,0.97
LonglineLogsheet,1,9270,0.96
LonglineLogsheet,2,13222,1.38
LonglineLogsheet,3,45722,4.76
LonglineLogsheet,4,106927,11.13
LonglineLogsheet,5,298588,31.08
LonglineLogsheet,6,222603,23.17
LonglineLogsheet,7,74471,7.75
LonglineLogsheet,8,29638,3.09
LonglineLogsheet,9,10805,1.12
LonglineLogsheet,10,5818,0.61
LonglineLogsheet,11,4956,0.52
LonglineLogsheet,12,32070,3.34
LonglineLogsheet,13,8088,0.84
LonglineLogsheet,14,4682,0.49
LonglineLogsheet,15,5975,0.62
LonglineLogsheet,16,6816,0.71
LonglineLogsheet,17,11880,1.24
LonglineLogsheet,18,17166,1.79
LonglineLogsheet,19,12187,1.27
LonglineLogsheet,20,9454,0.98
LonglineLogsheet,21,13472,1.4
LonglineLogsheet,22,5083,0.53
LonglineLogsheet,23,2470,0.26
PurseseineLogsheet,0,35989,5.81
PurseseineLogsheet,1,96561,15.59
PurseseineLogsheet,2,23103,3.73
PurseseineLogsheet,3,23542,3.8
PurseseineLogsheet,4,29696,4.79
PurseseineLogsheet,5,34323,5.54
PurseseineLogsheet,6,23629,3.81
PurseseineLogsheet,7,14844,2.4
PurseseineLogsheet,8,7179,1.16
PurseseineLogsheet,9,5709,0.92
PurseseineLogsheet,10,5864,0.95
PurseseineLogsheet,11,5860,0.95
PurseseineLogsheet,12,30030,4.85
PurseseineLogsheet,13,6261,1.01
PurseseineLogsheet,14,7472,1.21
PurseseineLogsheet,15,15347,2.48
PurseseineLogsheet,16,29378,4.74
PurseseineLogsheet,17,58604,9.46
PurseseineLogsheet,18,48844,7.89
PurseseineLogsheet,19,26827,4.33
PurseseineLogsheet,20,21483,3.47
PurseseineLogsheet,21,22591,3.65
PurseseineLogsheet,22,23417,3.78
PurseseineLogsheet,23,22835,3.69
