type,school_type,hour,count,pct
LonglineLogsheet,,0,4286,0.47
LonglineLogsheet,,1,8867,0.97
LonglineLogsheet,,2,13064,1.44
LonglineLogsheet,,3,45752,5.03
LonglineLogsheet,,4,106990,11.76
LonglineLogsheet,,5,299894,32.95
LonglineLogsheet,,6,221026,24.29
LonglineLogsheet,,7,72059,7.92
LonglineLogsheet,,8,27602,3.03
LonglineLogsheet,,9,9604,1.06
LonglineLogsheet,,10,4788,0.53
LonglineLogsheet,,11,3471,0.38
LonglineLogsheet,,12,5538,0.61
LonglineLogsheet,,13,3296,0.36
LonglineLogsheet,,14,3721,0.41
LonglineLogsheet,,15,5251,0.58
LonglineLogsheet,,16,6181,0.68
LonglineLogsheet,,17,11157,1.23
LonglineLogsheet,,18,16680,1.83
LonglineLogsheet,,19,11835,1.3
LonglineLogsheet,,20,9081,1
LonglineLogsheet,,21,13086,1.44
LonglineLogsheet,,22,4718,0.52
LonglineLogsheet,,23,2105,0.23
PurseseineLogsheet,,0,77,1.99
PurseseineLogsheet,,1,55,1.42
PurseseineLogsheet,,2,62,1.6
PurseseineLogsheet,,3,90,2.33
PurseseineLogsheet,,4,404,10.44
PurseseineLogsheet,,5,308,7.96
PurseseineLogsheet,,6,100,2.58
PurseseineLogsheet,,7,79,2.04
PurseseineLogsheet,,8,47,1.21
PurseseineLogsheet,,9,34,0.88
PurseseineLogsheet,,10,31,0.8
PurseseineLogsheet,,11,31,0.8
PurseseineLogsheet,,12,25,0.65
PurseseineLogsheet,,13,23,0.59
PurseseineLogsheet,,14,35,0.9
PurseseineLogsheet,,15,53,1.37
PurseseineLogsheet,,16,108,2.79
PurseseineLogsheet,,17,265,6.85
PurseseineLogsheet,,18,965,24.94
PurseseineLogsheet,,19,817,21.11
PurseseineLogsheet,,20,67,1.73
PurseseineLogsheet,,21,53,1.37
PurseseineLogsheet,,22,63,1.63
PurseseineLogsheet,,23,78,2.02
PurseseineLogsheet,FAD-associated,0,589,0.37
PurseseineLogsheet,FAD-associated,1,381,0.24
PurseseineLogsheet,FAD-associated,2,276,0.17
PurseseineLogsheet,FAD-associated,3,583,0.36
PurseseineLogsheet,FAD-associated,4,5139,3.2
PurseseineLogsheet,FAD-associated,5,9426,5.86
PurseseineLogsheet,FAD-associated,6,1721,1.07
PurseseineLogsheet,FAD-associated,7,258,0.16
PurseseineLogsheet,FAD-associated,8,153,0.1
PurseseineLogsheet,FAD-associated,9,112,0.07
PurseseineLogsheet,FAD-associated,10,143,0.09
PurseseineLogsheet,FAD-associated,11,105,0.07
PurseseineLogsheet,FAD-associated,12,200,0.12
PurseseineLogsheet,FAD-associated,13,820,0.51
PurseseineLogsheet,FAD-associated,14,2185,1.36
PurseseineLogsheet,FAD-associated,15,9481,5.89
PurseseineLogsheet,FAD-associated,16,22176,13.79
PurseseineLogsheet,FAD-associated,17,49962,31.06
PurseseineLogsheet,FAD-associated,18,39659,24.66
PurseseineLogsheet,FAD-associated,19,13673,8.5
PurseseineLogsheet,FAD-associated,20,1516,0.94
PurseseineLogsheet,FAD-associated,21,901,0.56
PurseseineLogsheet,FAD-associated,22,765,0.48
PurseseineLogsheet,FAD-associated,23,619,0.38
PurseseineLogsheet,Free school,0,21228,7.21
PurseseineLogsheet,Free school,1,20095,6.83
PurseseineLogsheet,Free school,2,19981,6.79
PurseseineLogsheet,Free school,3,20361,6.92
PurseseineLogsheet,Free school,4,21868,7.43
PurseseineLogsheet,Free school,5,22408,7.61
PurseseineLogsheet,Free school,6,19480,6.62
PurseseineLogsheet,Free school,7,12089,4.11
PurseseineLogsheet,Free school,8,4643,1.58
PurseseineLogsheet,Free school,9,3290,1.12
PurseseineLogsheet,Free school,10,3458,1.17
PurseseineLogsheet,Free school,11,3601,1.22
PurseseineLogsheet,Free school,12,3461,1.18
PurseseineLogsheet,Free school,13,3493,1.19
PurseseineLogsheet,Free school,14,3395,1.15
PurseseineLogsheet,Free school,15,4084,1.39
PurseseineLogsheet,Free school,16,5288,1.8
PurseseineLogsheet,Free school,17,7102,2.41
PurseseineLogsheet,Free school,18,7085,2.41
PurseseineLogsheet,Free school,19,12072,4.1
PurseseineLogsheet,Free school,20,17828,6.06
PurseseineLogsheet,Free school,21,19164,6.51
PurseseineLogsheet,Free school,22,19682,6.68
PurseseineLogsheet,Free school,23,19275,6.55
